                Process 1     Process 2     Process 3     Process 4     Process 5     Process 6     Process 7     Process 8     Process 9     Process 10    Process 11    Process 12    Process 13    Process 14    Process 15    Process 16    Process 17    Process 18    Process 19 
     RDE       3.600000E-01  3.150000E-01  1.400000E-01  7.300000E-02  6.800000E-02  4.400000E-02  2.560000E-01  5.150000E-01  1.250000E-01  4.800000E-02  5.600000E-02  1.950000E-01  6.750000E-01  4.000000E-02  5.600000E-02  2.100000E-02  1.300000E-02  9.000000E-02  9.100000E-01
     eth                                                                                                                                                                                                                                                                               
      E      
 4.171125E+00  2.220762E-08  1.431792E-08  8.584088E-09  2.694500E-09  2.679610E-09  1.856091E-09  2.821773E-09  4.868105E-09  1.377799E-09  4.489630E-10  4.559854E-10  2.651094E-09  8.238973E-09  2.401681E-10  7.615810E-10  1.948018E-10  1.218431E-10  9.111207E-10  9.341001E-09
 4.686904E+00  2.593795E-08  1.756980E-08  1.003791E-08  3.407368E-09  3.357244E-09  2.302759E-09  3.727683E-09  6.615968E-09  1.820136E-09  6.112543E-10  6.350232E-10  3.340793E-09  1.059066E-08  3.433550E-10  9.596455E-10  2.616067E-10  1.633724E-10  1.126828E-09  1.152035E-08
 5.266462E+00  2.984450E-08  2.107187E-08  1.156061E-08  4.193790E-09  4.099071E-09  2.787891E-09  4.798332E-09  8.715488E-09  2.342912E-09  8.064368E-10  8.539391E-10  4.119642E-09  1.327266E-08  4.713554E-10  1.183309E-09  3.402255E-10  2.121857E-10  1.365561E-09  1.393036E-08
 5.917686E+00  3.387120E-08  2.476092E-08  1.313023E-08  5.039039E-09  4.891236E-09  3.302528E-09  6.032322E-09  1.116530E-08  2.945445E-09  1.034405E-09  1.113058E-09  4.980573E-09  1.625901E-08  6.241850E-10  1.430542E-09  4.300105E-10  2.678752E-10  1.624544E-09  1.654338E-08
 6.649436E+00  3.795997E-08  2.856979E-08  1.472402E-08  5.926455E-09  5.718408E-09  3.836957E-09  7.422132E-09  1.395000E-08  3.624060E-09  1.293733E-09  1.410972E-09  5.913602E-09  1.951266E-08  8.005543E-10  1.698479E-09  5.298273E-10  3.297352E-10  1.900333E-09  1.932504E-08
 7.471671E+00  4.205287E-08  3.243093E-08  1.631934E-08  6.838560E-09  6.564740E-09  4.381283E-09  8.954456E-09  1.704121E-08  4.372262E-09  1.581774E-09  1.744653E-09  6.906341E-09  2.298760E-08  9.979975E-10  1.983563E-09  6.381458E-10  3.968184E-10  2.188986E-09  2.223591E-08
 8.395579E+00  4.609397E-08  3.627935E-08  1.789435E-08  7.758044E-09  7.414703E-09  4.925899E-09  1.061090E-08  2.039931E-08  5.181065E-09  1.894823E-09  2.109682E-09  7.944607E-09  2.663136E-08  1.213099E-09  2.281723E-09  7.531483E-10  4.680023E-10  2.486245E-09  2.523334E-08
 9.433732E+00  5.003095E-08  4.005487E-08  1.942865E-08  8.668552E-09  8.253733E-09  5.461857E-09  1.236891E-08  2.397581E-08  6.039464E-09  2.228342E-09  2.500538E-09  9.013073E-09  3.038759E-08  1.441771E-09  2.588558E-09  8.728421E-10  5.420576E-10  2.787712E-09  2.827318E-08
 1.060026E+01  5.381628E-08  4.370365E-08  2.090373E-08  9.555258E-09  9.068704E-09  5.981131E-09  1.420293E-08  2.771589E-08  6.934970E-09  2.577201E-09  2.910933E-09  1.009591E-08  3.419844E-08  1.679549E-09  2.899522E-09  9.951649E-10  6.177135E-10  3.089016E-09  3.131151E-08
 1.191103E+01  5.740813E-08  4.717924E-08  2.230331E-08  1.040524E-08  9.848219E-09  6.476773E-09  1.608550E-08  3.156108E-08  7.854182E-09  2.935928E-09  3.334138E-09  1.117737E-08  3.800679E-08  1.921858E-09  3.210097E-09  1.118078E-09  6.937138E-10  3.385952E-09  3.430603E-08
 1.338389E+01  6.077086E-08  5.044293E-08  2.361357E-08  1.120765E-08  1.058276E-08  6.942994E-09  1.798845E-08  3.545171E-08  8.783342E-09  3.298940E-09  3.763291E-09  1.224234E-08  4.175809E-08  2.164248E-09  3.515937E-09  1.239641E-09  7.688638E-10  3.674607E-09  3.721727E-08
 1.503887E+01  6.387529E-08  5.346384E-08  2.482320E-08  1.195382E-08  1.126470E-08  7.375172E-09  1.988393E-08  3.932918E-08  9.708849E-09  3.660755E-09  4.191672E-09  1.327672E-08  4.540189E-08  2.402573E-09  3.812999E-09  1.358072E-09  8.420655E-10  3.951443E-09  4.000957E-08
 1.689850E+01  6.669869E-08  5.621861E-08  2.592344E-08  1.263712E-08  1.188828E-08  7.769809E-09  2.174532E-08  4.313785E-08  1.061771E-08  4.016169E-09  4.612919E-09  1.426780E-08  4.889293E-08  2.633116E-09  4.097629E-09  1.471785E-09  9.123424E-10  4.213365E-09  4.265163E-08
 1.898808E+01  6.922461E-08  5.869093E-08  2.690795E-08  1.325289E-08  1.244944E-08  8.124458E-09  2.354797E-08  4.682649E-08  1.149788E-08  4.360395E-09  5.021204E-09  1.520448E-08  5.219191E-08  2.852675E-09  4.366634E-09  1.579418E-09  9.788553E-10  4.457763E-09  4.511702E-08
 2.133605E+01  7.144251E-08  6.087088E-08  2.777270E-08  1.379824E-08  1.294568E-08  8.437626E-09  2.526977E-08  5.034947E-08  1.233857E-08  4.689168E-09  5.411358E-09  1.607737E-08  5.526593E-08  3.058594E-09  4.617321E-09  1.679843E-09  1.040908E-09  4.682521E-09  4.738425E-08
 2.397435E+01  7.334733E-08  6.275424E-08  2.851578E-08  1.427179E-08  1.337588E-08  8.708658E-09  2.689153E-08  5.366744E-08  1.313042E-08  4.998812E-09  5.778945E-09  1.687892E-08  5.808860E-08  3.248770E-09  4.847511E-09  1.772166E-09  1.097951E-09  4.886020E-09  4.943682E-08
 2.693889E+01  7.493892E-08  6.434171E-08  2.913716E-08  1.467355E-08  1.374009E-08  8.937631E-09  2.839721E-08  5.674773E-08  1.386559E-08  5.286279E-09  6.120304E-09  1.760334E-08  6.063997E-08  3.421636E-09  5.055539E-09  1.855719E-09  1.149572E-09  5.067117E-09  5.126303E-08
 3.027002E+01  7.622152E-08  6.563822E-08  2.963848E-08  1.500460E-08  1.403937E-08  9.125235E-09  2.977399E-08  5.956446E-08  1.453783E-08  5.549152E-09  6.432551E-09  1.824658E-08  6.290622E-08  3.576119E-09  5.240236E-09  1.930050E-09  1.195491E-09  5.225114E-09  5.285568E-08
 3.401305E+01  7.720311E-08  6.665216E-08  3.002283E-08  1.526697E-08  1.427560E-08  9.272666E-09  3.101223E-08  6.209840E-08  1.514245E-08  5.785637E-09  6.713555E-09  1.880619E-08  6.487923E-08  3.711592E-09  5.400896E-09  1.994899E-09  1.235549E-09  5.359722E-09  5.421173E-08
 3.821893E+01  7.789484E-08  6.739472E-08  3.029447E-08  1.546340E-08  1.445128E-08  9.381529E-09  3.210534E-08  6.433661E-08  1.567622E-08  5.994529E-09  6.961897E-09  1.928120E-08  6.655603E-08  3.827826E-09  5.537238E-09  2.050179E-09  1.269691E-09  5.471017E-09  5.533187E-08
 4.294488E+01  7.831042E-08  6.787931E-08  3.045866E-08  1.559719E-08  1.456945E-08  9.453743E-09  3.304960E-08  6.627197E-08  1.613733E-08  6.175166E-09  7.176810E-09  1.967198E-08  6.793826E-08  3.924925E-09  5.649365E-09  2.095958E-09  1.297960E-09  5.559391E-09  5.622004E-08
 4.825522E+01  7.846559E-08  6.812097E-08  3.052141E-08  1.567205E-08  1.463351E-08  9.491462E-09  3.384386E-08  6.790262E-08  1.652523E-08  6.327375E-09  7.358115E-09  1.998005E-08  6.903149E-08  4.003278E-09  5.737713E-09  2.132430E-09  1.320475E-09  5.625507E-09  5.688303E-08
 5.422221E+01  7.837749E-08  6.813593E-08  3.048930E-08  1.569199E-08  1.464711E-08  9.497004E-09  3.448932E-08  6.923133E-08  1.684050E-08  6.451417E-09  7.506140E-09  2.020789E-08  6.984466E-08  4.063505E-09  5.803007E-09  2.159897E-09  1.337423E-09  5.670257E-09  5.732993E-08
 6.092705E+01  7.806428E-08  6.794113E-08  3.036927E-08  1.566115E-08  1.461407E-08  9.472789E-09  3.498916E-08  7.026485E-08  1.708470E-08  6.547922E-09  7.621654E-09  2.035884E-08  7.038944E-08  4.106407E-09  5.846208E-09  2.178750E-09  1.349045E-09  5.694709E-09  5.757174E-08
 6.846097E+01  7.754459E-08  6.755389E-08  3.016850E-08  1.558379E-08  1.453826E-08  9.421286E-09  3.534831E-08  7.101325E-08  1.726022E-08  6.617831E-09  7.705789E-09  2.043689E-08  7.067969E-08  4.132923E-09  5.868468E-09  2.189444E-09  1.355622E-09  5.700073E-09  5.762089E-08
 7.692650E+01  7.683719E-08  6.699161E-08  2.989426E-08  1.546416E-08  1.442358E-08  9.344971E-09  3.557309E-08  7.148931E-08  1.737015E-08  6.662339E-09  7.759973E-09  2.044650E-08  7.073092E-08  4.144094E-09  5.871083E-09  2.192486E-09  1.357469E-09  5.687660E-09  5.749083E-08
 8.643883E+01  7.596064E-08  6.627148E-08  2.955373E-08  1.530643E-08  1.427388E-08  9.246288E-09  3.567095E-08  7.170795E-08  1.741810E-08  6.682837E-09  7.785860E-09  2.039254E-08  7.055985E-08  4.141026E-09  5.855454E-09  2.188419E-09  1.354919E-09  5.658846E-09  5.719568E-08
 9.712740E+01  7.493305E-08  6.541029E-08  2.915397E-08  1.511468E-08  1.409288E-08  9.127621E-09  3.565016E-08  7.168568E-08  1.740811E-08  6.680866E-09  7.785278E-09  2.028005E-08  7.018392E-08  4.124864E-09  5.823043E-09  2.177805E-09  1.348320E-09  5.615039E-09  5.674985E-08
 1.091377E+02  7.377182E-08  6.442426E-08  2.870179E-08  1.489283E-08  1.388419E-08  8.991270E-09  3.551958E-08  7.144011E-08  1.734449E-08  6.658069E-09  7.760168E-09  2.011422E-08  6.962098E-08  4.096768E-09  5.775343E-09  2.161218E-09  1.338028E-09  5.557659E-09  5.616779E-08
 1.226331E+02  7.249351E-08  6.332889E-08  2.820370E-08  1.464462E-08  1.365126E-08  8.839432E-09  3.528839E-08  7.098953E-08  1.723172E-08  6.616152E-09  7.712543E-09  1.990023E-08  6.888890E-08  4.057891E-09  5.713844E-09  2.139231E-09  1.324396E-09  5.488103E-09  5.546367E-08
 1.377972E+02  7.111378E-08  6.213887E-08  2.766587E-08  1.437360E-08  1.339734E-08  8.674187E-09  3.496591E-08  7.035251E-08  1.707434E-08  6.556845E-09  7.644442E-09  1.964315E-08  6.800533E-08  4.009365E-09  5.640008E-09  2.112405E-09  1.307773E-09  5.407736E-09  5.465127E-08
 1.548365E+02  6.964725E-08  6.086800E-08  2.709407E-08  1.408307E-08  1.312549E-08  8.497489E-09  3.456138E-08  6.954757E-08  1.687686E-08  6.481877E-09  7.557899E-09  1.934792E-08  6.698745E-08  3.952285E-09  5.555251E-09  2.081291E-09  1.288497E-09  5.317868E-09  5.374376E-08
 1.739828E+02  6.810756E-08  5.952917E-08  2.649370E-08  1.377614E-08  1.283855E-08  8.311160E-09  3.408385E-08  6.859290E-08  1.664369E-08  6.392944E-09  7.454910E-09  1.901926E-08  6.585179E-08  3.887702E-09  5.460924E-09  2.046414E-09  1.266894E-09  5.219746E-09  5.275360E-08
 1.954966E+02  6.650732E-08  5.813429E-08  2.586974E-08  1.345567E-08  1.253916E-08  8.116886E-09  3.354200E-08  6.750616E-08  1.637908E-08  6.291691E-09  7.337408E-09  1.866164E-08  6.461406E-08  3.816613E-09  5.358306E-09  2.008275E-09  1.243274E-09  5.114545E-09  5.169250E-08
 2.196707E+02  6.485813E-08  5.669434E-08  2.522679E-08  1.312428E-08  1.222974E-08  7.916218E-09  3.294412E-08  6.630422E-08  1.608708E-08  6.179694E-09  7.207248E-09  1.827925E-08  6.328908E-08  3.739957E-09  5.248593E-09  1.967347E-09  1.217929E-09  5.003361E-09  5.057135E-08
 2.468340E+02  6.317065E-08  5.521934E-08  2.456904E-08  1.278437E-08  1.191252E-08  7.710573E-09  3.229800E-08  6.500311E-08  1.577150E-08  6.058446E-09  7.066186E-09  1.787598E-08  6.189067E-08  3.658610E-09  5.132899E-09  1.924072E-09  1.191133E-09  4.887210E-09  4.940024E-08
 2.773563E+02  6.145463E-08  5.371841E-08  2.390033E-08  1.243812E-08  1.158949E-08  7.501238E-09  3.161090E-08  6.361784E-08  1.543589E-08  5.929348E-09  6.915873E-09  1.745543E-08  6.043165E-08  3.573383E-09  5.012250E-09  1.878858E-09  1.163138E-09  4.767027E-09  4.818845E-08
 3.116527E+02  5.971894E-08  5.219979E-08  2.322413E-08  1.208751E-08  1.126248E-08  7.289379E-09  3.088956E-08  6.216239E-08  1.508354E-08  5.793704E-09  6.757843E-09  1.702093E-08  5.892380E-08  3.485023E-09  4.887591E-09  1.832082E-09  1.134177E-09  4.643668E-09  4.694448E-08
 3.501900E+02  5.797164E-08  5.067090E-08  2.254361E-08  1.173430E-08  1.093311E-08  7.076040E-09  3.014016E-08  6.064966E-08  1.471750E-08  5.652718E-09  6.593517E-09  1.657548E-08  5.737789E-08  3.394213E-09  4.759786E-09  1.784088E-09  1.104463E-09  4.517915E-09  4.567609E-08
 3.934927E+02  5.622001E-08  4.913837E-08  2.186159E-08  1.138007E-08  1.060285E-08  6.862159E-09  2.936838E-08  5.909147E-08  1.434052E-08  5.507491E-09  6.424194E-09  1.612184E-08  5.580372E-08  3.301570E-09  4.629622E-09  1.735189E-09  1.074189E-09  4.390474E-09  4.439035E-08
 4.421500E+02  5.447063E-08  4.760812E-08  2.118062E-08  1.102623E-08  1.027300E-08  6.648567E-09  2.857939E-08  5.749859E-08  1.395515E-08  5.359029E-09  6.251059E-09  1.566252E-08  5.421013E-08  3.207654E-09  4.497813E-09  1.685669E-09  1.043531E-09  4.261985E-09  4.309365E-08
 4.968240E+02  5.272937E-08  4.608538E-08  2.050298E-08  1.067402E-08  9.944702E-09  6.436004E-09  2.777789E-08  5.588078E-08  1.356367E-08  5.208242E-09  6.075184E-09  1.519978E-08  5.260510E-08  3.112965E-09  4.365008E-09  1.635779E-09  1.012645E-09  4.133023E-09  4.179178E-08
