# AUG16Fluids FromSolPSToSteve.py generated @ Monday, 07. January 2013 09:19
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09           z10           z11           z12           z13           z14           z15           z16
   22    2  1.3058E+00  3.5018E-01  1.587624E+04  1.639041E+04  1.664896E+04  1.734727E+04  1.878923E+04  1.740120E+04  1.633711E+04  2.029716E+02  1.688926E+04 -6.445157E+04 -6.765151E+04 -8.290783E+04  4.823386E+03  1.754530E+04  1.686105E+04  1.578180E+04
   23    2  1.4008E+00  4.8452E-01  1.524390E+04  1.305980E+04  1.320720E+04  1.367512E+04  1.465902E+04  1.343281E+04  1.199394E+04 -5.747608E+03  1.553192E+04 -6.591385E+04 -7.552121E+04 -8.541850E+04 -4.827318E+03  1.340065E+04  1.235221E+04  1.075834E+04
   24    2  1.5098E+00  5.6221E-01  1.475999E+04  1.002038E+04  1.003975E+04  1.022227E+04  1.061895E+04  1.001572E+04  8.754045E+03 -2.852010E+04  1.433679E+04 -7.573125E+04 -8.567388E+04 -8.166455E+04 -1.368445E+04  9.701880E+03  8.829541E+03  7.229461E+03
   25    2  1.6225E+00  5.8469E-01  1.463292E+04  7.908374E+03  7.811437E+03  7.715038E+03  7.522058E+03  7.804811E+03  7.022169E+03 -3.230573E+04  1.360782E+04 -8.341047E+04 -8.250330E+04 -7.322170E+04 -2.028865E+04  7.184675E+03  6.794236E+03  5.429033E+03
   26    2  1.7546E+00  5.5125E-01  1.474911E+04  6.812196E+03  6.615180E+03  6.267927E+03  5.531936E+03  6.374455E+03  6.020701E+03 -2.888117E+04  1.319476E+04 -7.590337E+04 -7.168881E+04 -6.301822E+04 -2.351893E+04  5.518445E+03  5.546699E+03  4.377064E+03
   27    2  1.8907E+00  4.5167E-01  1.492224E+04  6.805894E+03  6.535651E+03  6.004639E+03  4.855918E+03  5.457661E+03  5.298523E+03 -2.216323E+04  1.293783E+04 -5.286642E+04 -5.240343E+04 -4.705040E+04 -2.270241E+04  4.507724E+03  4.650128E+03  3.559835E+03
   28    2  1.9918E+00  3.0022E-01  1.503444E+04  7.808026E+03  7.491753E+03  6.837329E+03  5.406668E+03  5.184690E+03  5.022056E+03 -1.359691E+04  1.279104E+04 -1.500893E+04 -1.873286E+04 -2.113851E+04 -1.489525E+04  4.274659E+03  4.252494E+03  3.215287E+03
   29    2  2.0387E+00  1.2405E-01  1.509449E+04  9.756883E+03  9.428478E+03  8.710328E+03  7.102455E+03  5.521078E+03  5.177188E+03 -5.089914E+03  1.277502E+04 -5.303828E+03 -4.190204E+03 -1.573172E+03  5.237686E+02  4.748071E+03  4.336378E+03  3.315529E+03
   30    2  2.0288E+00 -5.3731E-02  1.514166E+04  1.250797E+04  1.218702E+04  1.143640E+04  9.723011E+03  6.407397E+03  5.659677E+03  4.204112E+03  1.291198E+04  6.428103E+03  1.093502E+04  1.578389E+04  1.435456E+04  5.863636E+03  4.813075E+03  3.707687E+03
   31    2  1.9706E+00 -2.1533E-01  1.515257E+04  1.582078E+04  1.551154E+04  1.474047E+04  1.297126E+04  7.855176E+03  6.556191E+03  1.284638E+04  1.317451E+04  8.905947E+03  1.302070E+04  2.188197E+04  2.554300E+04  7.593423E+03  5.773143E+03  4.510411E+03
   32    2  1.8786E+00 -3.4822E-01  1.506161E+04  1.933972E+04  1.903472E+04  1.824554E+04  1.645896E+04  9.810759E+03  7.962720E+03  2.168810E+04  1.348052E+04  3.051322E+04  4.078829E+04  5.231631E+04  3.946767E+04  9.834392E+03  7.306572E+03  5.887917E+03
   33    2  1.7698E+00 -4.4329E-01  1.488178E+04  2.258714E+04  2.230128E+04  2.155108E+04  1.987388E+04  1.236245E+04  1.029545E+04  2.935708E+04  1.384991E+04  5.799799E+04  6.867607E+04  7.602735E+04  4.541390E+04  1.260415E+04  9.771703E+03  8.440100E+03
   34    2  1.6644E+00 -4.9504E-01  1.474295E+04  2.492554E+04  2.469743E+04  2.409163E+04  2.273108E+04  1.535301E+04  1.374862E+04  3.008889E+04  1.435947E+04  7.846485E+04  8.928383E+04  9.307380E+04  4.630637E+04  1.567883E+04  1.326136E+04  1.254539E+04
   35    2  1.5851E+00 -5.0999E-01  1.472137E+04  2.599717E+04  2.583413E+04  2.539573E+04  2.439760E+04  1.768533E+04  1.681808E+04  3.462280E+04  1.485209E+04  9.657645E+04  1.041117E+05  1.040433E+05  4.500089E+04  1.801688E+04  1.631032E+04  1.635293E+04
   36    2  1.5461E+00 -5.0892E-01  1.474867E+04  2.638360E+04  2.626171E+04  2.593130E+04  2.517259E+04  1.892150E+04  1.853625E+04  2.955669E+04  1.513753E+04  1.056816E+05  1.126271E+05  1.101022E+05  4.431519E+04  1.927272E+04  1.803389E+04  1.857294E+04
