%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIE	 RMDE	 RHOE	 PSIE	  TIE	 DTIE
  3.753E+00	 3.753E+00	 9.036E-01	 8.477E-01	 1.270E+00	 2.669E-02
  3.754E+00	 3.754E+00	 9.043E-01	 8.487E-01	 1.231E+00	 2.416E-02
  3.754E+00	 3.754E+00	 9.046E-01	 8.492E-01	 1.181E+00	 2.896E-02
  3.755E+00	 3.755E+00	 9.052E-01	 8.501E-01	 1.216E+00	 2.629E-02
  3.755E+00	 3.755E+00	 9.054E-01	 8.504E-01	 1.252E+00	 2.819E-02
  3.755E+00	 3.755E+00	 9.057E-01	 8.509E-01	 1.193E+00	 2.853E-02
  3.755E+00	 3.755E+00	 9.059E-01	 8.513E-01	 1.179E+00	 3.063E-02
  3.755E+00	 3.755E+00	 9.060E-01	 8.514E-01	 1.172E+00	 2.811E-02
  3.756E+00	 3.756E+00	 9.065E-01	 8.522E-01	 1.167E+00	 2.778E-02
  3.756E+00	 3.756E+00	 9.066E-01	 8.523E-01	 1.174E+00	 2.716E-02
  3.756E+00	 3.756E+00	 9.068E-01	 8.528E-01	 1.216E+00	 2.858E-02
  3.756E+00	 3.756E+00	 9.074E-01	 8.536E-01	 1.249E+00	 2.841E-02
  3.760E+00	 3.760E+00	 9.125E-01	 8.618E-01	 1.114E+00	 2.549E-02
  3.761E+00	 3.761E+00	 9.131E-01	 8.628E-01	 1.135E+00	 6.446E-02
  3.761E+00	 3.761E+00	 9.132E-01	 8.630E-01	 1.096E+00	 2.067E-02
  3.762E+00	 3.762E+00	 9.143E-01	 8.648E-01	 1.160E+00	 2.618E-02
  3.762E+00	 3.762E+00	 9.145E-01	 8.650E-01	 1.168E+00	 2.416E-02
  3.762E+00	 3.762E+00	 9.147E-01	 8.654E-01	 1.105E+00	 2.002E-02
  3.763E+00	 3.763E+00	 9.161E-01	 8.676E-01	 1.121E+00	 2.354E-02
  3.763E+00	 3.763E+00	 9.162E-01	 8.677E-01	 1.140E+00	 1.588E-02
  3.763E+00	 3.763E+00	 9.163E-01	 8.679E-01	 1.165E+00	 2.757E-02
  3.764E+00	 3.763E+00	 9.164E-01	 8.680E-01	 1.156E+00	 2.055E-02
  3.764E+00	 3.764E+00	 9.169E-01	 8.688E-01	 1.137E+00	 2.187E-02
  3.764E+00	 3.764E+00	 9.175E-01	 8.699E-01	 1.165E+00	 2.104E-02
  3.765E+00	 3.765E+00	 9.178E-01	 8.703E-01	 1.090E+00	 2.375E-02
  3.765E+00	 3.765E+00	 9.180E-01	 8.706E-01	 1.107E+00	 2.382E-02
  3.765E+00	 3.765E+00	 9.185E-01	 8.715E-01	 1.099E+00	 1.855E-02
  3.765E+00	 3.765E+00	 9.185E-01	 8.715E-01	 1.142E+00	 2.066E-02
  3.766E+00	 3.765E+00	 9.189E-01	 8.721E-01	 1.096E+00	 1.918E-02
  3.766E+00	 3.766E+00	 9.191E-01	 8.725E-01	 1.104E+00	 2.730E-02
  3.766E+00	 3.766E+00	 9.194E-01	 8.728E-01	 1.061E+00	 1.825E-02
  3.766E+00	 3.766E+00	 9.196E-01	 8.732E-01	 1.089E+00	 2.476E-02
  3.767E+00	 3.766E+00	 9.201E-01	 8.741E-01	 1.155E+00	 2.684E-02
  3.771E+00	 3.770E+00	 9.252E-01	 8.821E-01	 1.061E+00	 1.696E-02
  3.771E+00	 3.771E+00	 9.260E-01	 8.834E-01	 1.158E+00	 2.620E-02
  3.771E+00	 3.771E+00	 9.262E-01	 8.837E-01	 1.103E+00	 5.310E-02
  3.772E+00	 3.772E+00	 9.271E-01	 8.852E-01	 1.121E+00	 1.755E-02
  3.772E+00	 3.772E+00	 9.272E-01	 8.854E-01	 1.247E+00	 3.046E-02
  3.772E+00	 3.772E+00	 9.275E-01	 8.859E-01	 1.124E+00	 2.656E-02
  3.773E+00	 3.773E+00	 9.288E-01	 8.880E-01	 1.104E+00	 1.176E-02
  3.773E+00	 3.773E+00	 9.289E-01	 8.881E-01	 1.058E+00	 1.858E-02
  3.774E+00	 3.773E+00	 9.290E-01	 8.882E-01	 1.063E+00	 2.295E-02
  3.774E+00	 3.774E+00	 9.290E-01	 8.883E-01	 1.070E+00	 1.786E-02
  3.774E+00	 3.774E+00	 9.297E-01	 8.894E-01	 1.070E+00	 2.300E-02
  3.775E+00	 3.774E+00	 9.302E-01	 8.902E-01	 1.186E+00	 2.654E-02
  3.775E+00	 3.775E+00	 9.306E-01	 8.908E-01	 1.035E+00	 1.605E-02
  3.775E+00	 3.775E+00	 9.308E-01	 8.912E-01	 1.054E+00	 1.709E-02
  3.775E+00	 3.775E+00	 9.312E-01	 8.919E-01	 1.170E+00	 2.580E-02
  3.776E+00	 3.775E+00	 9.315E-01	 8.923E-01	 1.135E+00	 2.379E-02
  3.776E+00	 3.776E+00	 9.316E-01	 8.924E-01	 1.200E+00	 2.589E-02
  3.776E+00	 3.776E+00	 9.320E-01	 8.931E-01	 1.026E+00	 1.923E-02
  3.776E+00	 3.776E+00	 9.321E-01	 8.933E-01	 1.139E+00	 2.345E-02
  3.776E+00	 3.776E+00	 9.325E-01	 8.939E-01	 1.012E+00	 1.599E-02
  3.777E+00	 3.777E+00	 9.329E-01	 8.946E-01	 1.053E+00	 1.710E-02
  3.781E+00	 3.781E+00	 9.381E-01	 9.028E-01	 1.059E+00	 2.254E-02
  3.781E+00	 3.781E+00	 9.387E-01	 9.039E-01	 1.130E+00	 1.166E-02
  3.781E+00	 3.781E+00	 9.388E-01	 9.040E-01	 1.084E+00	 5.646E-02
  3.782E+00	 3.782E+00	 9.398E-01	 9.056E-01	 1.119E+00	 2.360E-02
  3.782E+00	 3.782E+00	 9.400E-01	 9.059E-01	 1.169E+00	 1.206E-02
  3.782E+00	 3.782E+00	 9.403E-01	 9.063E-01	 1.148E+00	 1.176E-02
  3.784E+00	 3.783E+00	 9.416E-01	 9.085E-01	 1.046E+00	 1.857E-02
  3.784E+00	 3.784E+00	 9.417E-01	 9.086E-01	 1.097E+00	 1.814E-02
  3.784E+00	 3.784E+00	 9.418E-01	 9.089E-01	 1.109E+00	 1.449E-02
  3.784E+00	 3.784E+00	 9.421E-01	 9.092E-01	 1.090E+00	 2.169E-02
  3.784E+00	 3.784E+00	 9.424E-01	 9.098E-01	 1.086E+00	 1.938E-02
  3.785E+00	 3.785E+00	 9.430E-01	 9.107E-01	 1.150E+00	 1.147E-02
  3.785E+00	 3.785E+00	 9.436E-01	 9.116E-01	 1.064E+00	 2.169E-02
  3.785E+00	 3.785E+00	 9.437E-01	 9.118E-01	 1.057E+00	 2.201E-02
  3.785E+00	 3.785E+00	 9.440E-01	 9.124E-01	 1.150E+00	 1.115E-02
  3.786E+00	 3.786E+00	 9.444E-01	 9.130E-01	 1.130E+00	 1.035E-02
  3.786E+00	 3.786E+00	 9.444E-01	 9.130E-01	 1.073E+00	 9.794E-03
