# ITER#1542 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 61.0 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
   14    2  4.4294E+03 -3.7818E+03 -2.741799E+03 -2.841104E+03 -2.796639E+03 -2.786855E+03 -2.837372E+03 -2.804325E+03 -2.786357E+03 -2.776216E+03 -2.769915E+03
   15    2  4.5014E+03 -3.7573E+03 -2.840005E+03 -2.853046E+03 -2.894511E+03 -2.727880E+03 -2.892595E+03 -2.899322E+03 -2.890574E+03 -2.882134E+03 -2.875394E+03
   16    2  4.5880E+03 -3.7302E+03 -2.290868E+03 -2.272843E+03 -2.340866E+03 -2.239061E+03 -2.303659E+03 -2.339443E+03 -2.352307E+03 -2.350571E+03 -2.344960E+03
   17    2  4.6877E+03 -3.7037E+03 -1.229530E+03 -1.674882E+03 -1.541408E+03 -1.797028E+03 -1.615117E+03 -1.563497E+03 -1.555389E+03 -1.546925E+03 -1.528067E+03
   18    2  4.7961E+03 -3.6836E+03 -1.077045E+03 -1.417454E+03 -1.265589E+03 -1.605033E+03 -1.363416E+03 -1.292393E+03 -1.278088E+03 -1.274125E+03 -1.277989E+03
   19    2  4.9013E+03 -3.6785E+03 -1.562651E+03 -1.056135E+03 -1.019714E+03 -1.256626E+03 -1.134247E+03 -1.054814E+03 -1.061274E+03 -1.119106E+03 -1.173652E+03
   20    2  4.9818E+03 -3.6895E+03 -6.816584E+02 -7.219637E+02 -4.048597E+02 -1.181094E+03 -7.296116E+02 -4.864757E+02 -4.377921E+02 -4.756783E+02 -5.141620E+02
   21    2  5.4113E+03 -2.6783E+03 -2.117217E+00 -3.027514E+01 -5.556650E+01 -7.227697E+02 -7.273570E+02 -7.283391E+02 -7.258323E+02 -7.470932E+02 -7.519364E+02
   22    2  5.3141E+03 -2.6035E+03 -1.980451E+00 -4.638759E+01 -5.907306E+01 -8.179616E+02 -8.155907E+02 -8.087036E+02 -7.963801E+02 -7.716268E+02 -7.407657E+02
   23    2  5.1453E+03 -2.4055E+03 -2.445475E+00 -6.961247E+01 -7.127042E+01 -9.831880E+02 -9.805864E+02 -9.698409E+02 -9.466644E+02 -8.467759E+02 -7.559718E+02
   24    2  4.9856E+03 -2.1177E+03 -4.595007E+00 -8.541122E+01 -8.336154E+01 -1.095085E+03 -1.093247E+03 -1.079748E+03 -1.048329E+03 -8.914692E+02 -7.569630E+02
   25    2  4.8477E+03 -1.7931E+03 -9.093899E+00 -9.516409E+01 -9.144219E+01 -1.110551E+03 -1.109300E+03 -1.094514E+03 -1.059116E+03 -8.744107E+02 -7.216252E+02
   26    2  4.7279E+03 -1.4566E+03 -1.592979E+01 -1.032952E+02 -1.001403E+02 -1.049591E+03 -1.048838E+03 -1.034076E+03 -9.981411E+02 -8.062106E+02 -6.506547E+02
   27    2  4.6244E+03 -1.1141E+03 -2.435771E+01 -1.105040E+02 -1.089505E+02 -9.356515E+02 -9.353754E+02 -9.216945E+02 -8.878790E+02 -7.041670E+02 -5.563343E+02
   28    2  4.5365E+03 -7.6712E+02 -3.364954E+01 -1.162669E+02 -1.161079E+02 -7.826990E+02 -7.824529E+02 -7.704817E+02 -7.408901E+02 -5.787343E+02 -4.475626E+02
   29    2  4.4641E+03 -4.1644E+02 -4.353434E+01 -1.204859E+02 -1.213634E+02 -6.026273E+02 -6.025770E+02 -5.932642E+02 -5.699541E+02 -4.399200E+02 -3.323591E+02
   30    2  4.4064E+03 -6.3096E+01 -5.339301E+01 -1.229908E+02 -1.241229E+02 -4.028425E+02 -4.024559E+02 -3.960252E+02 -3.802079E+02 -2.910377E+02 -2.133246E+02
   31    2  4.3652E+03  2.9222E+02 -6.340903E+01 -1.242193E+02 -1.256444E+02 -1.913314E+02 -1.901394E+02 -1.867740E+02 -1.793713E+02 -1.368880E+02 -9.352754E+01
   32    2  4.3417E+03  6.4937E+02 -7.319689E+01 -1.244850E+02 -1.261784E+02  2.173175E+01  2.349502E+01  2.343592E+01  2.190370E+01  1.633643E+01  2.420999E+01
   33    2  4.3337E+03  1.0072E+03 -8.201514E+01 -1.238777E+02 -1.252201E+02  2.276452E+02  2.296925E+02  2.263874E+02  2.165288E+02  1.657629E+02  1.396299E+02
   34    2  4.3416E+03  1.3644E+03 -9.039189E+01 -1.230927E+02 -1.246454E+02  4.185533E+02  4.207341E+02  4.144731E+02  3.971755E+02  3.072604E+02  2.505337E+02
   35    2  4.3675E+03  1.7192E+03 -9.730517E+01 -1.222046E+02 -1.238541E+02  5.839518E+02  5.853692E+02  5.764168E+02  5.532120E+02  4.335032E+02  3.515755E+02
   36    2  4.4152E+03  2.0694E+03 -1.030453E+02 -1.217220E+02 -1.237865E+02  7.180797E+02  7.186277E+02  7.077813E+02  6.807341E+02  5.428309E+02  4.428389E+02
   37    2  4.4876E+03  2.4118E+03 -1.073352E+02 -1.219006E+02 -1.244705E+02  8.119425E+02  8.117982E+02  8.000088E+02  7.713729E+02  6.292241E+02  5.210317E+02
   38    2  4.5875E+03  2.7401E+03 -1.094051E+02 -1.228117E+02 -1.251903E+02  8.557635E+02  8.548175E+02  8.429886E+02  8.152942E+02  6.848446E+02  5.806097E+02
   39    2  4.7198E+03  3.0422E+03 -1.092555E+02 -1.249888E+02 -1.261779E+02  8.430025E+02  8.418562E+02  8.312643E+02  8.072626E+02  7.052525E+02  6.186137E+02
   40    2  4.8855E+03  3.2988E+03 -1.068859E+02 -1.294740E+02 -1.272193E+02  7.722306E+02  7.713420E+02  7.632033E+02  7.457272E+02  6.899476E+02  6.361109E+02
   41    2  5.0789E+03  3.4912E+03 -1.034267E+02 -1.380584E+02 -1.291011E+02  6.560308E+02  6.564321E+02  6.521056E+02  6.437354E+02  6.495125E+02  6.411123E+02
   42    2  5.2971E+03  3.6143E+03 -9.920356E+01 -1.525540E+02 -1.304994E+02  5.037129E+02  5.057469E+02  5.061851E+02  5.090880E+02  5.896146E+02  6.354750E+02
   43    2  5.5501E+03  3.6704E+03 -9.489918E+01 -1.780563E+02 -1.314074E+02  3.210675E+02  3.254199E+02  3.318777E+02  3.486860E+02  5.205373E+02  6.292768E+02
   44    2  5.8394E+03  3.6545E+03 -9.072984E+01 -2.246403E+02 -1.323371E+02  1.168850E+02  1.238182E+02  1.372650E+02  1.702321E+02  4.484091E+02  6.255236E+02
   45    2  6.1456E+03  3.5681E+03 -8.627283E+01 -3.099299E+02 -1.316390E+02 -8.765113E+01 -7.911175E+01 -5.888704E+01 -9.588351E+00  3.760736E+02  6.168723E+02
   46    2  6.4480E+03  3.4241E+03 -8.148757E+01 -4.632236E+02 -1.274954E+02 -2.650663E+02 -2.556922E+02 -2.294419E+02 -1.656521E+02  3.111192E+02  6.013748E+02
