# ITER#1511 (F57 ref-20-NF-C0, tau=0.5e-6, ntime=150)  - 84.4 ms
# Atomic density (m^-3)
   ix   iy      x           y           z01           z02           z03
   60    2  7.8038E+03 -8.7092E+02  9.409724E+11  0.000000E+00  0.000000E+00
   61    2  7.6358E+03 -1.1800E+03  9.409724E+11  0.000000E+00  0.000000E+00
   62    2  7.4355E+03 -1.4700E+03  0.000000E+00  0.000000E+00  0.000000E+00
   63    2  7.2082E+03 -1.7395E+03  0.000000E+00  0.000000E+00  0.000000E+00
   64    2  6.9574E+03 -1.9858E+03  0.000000E+00  0.000000E+00  0.000000E+00
   65    2  6.6846E+03 -2.2077E+03  0.000000E+00  0.000000E+00  0.000000E+00
   66    2  6.3937E+03 -2.4047E+03  0.000000E+00  0.000000E+00  0.000000E+00
   67    2  6.0901E+03 -2.5695E+03  0.000000E+00  0.000000E+00  0.000000E+00
   68    2  5.7913E+03 -2.6785E+03  0.000000E+00  0.000000E+00  0.000000E+00
   69    2  5.5486E+03 -2.7044E+03  0.000000E+00  0.000000E+00  0.000000E+00
   70    2  5.4379E+03 -2.6895E+03  6.083364E+17  3.739278E+16  2.256425E+16
   71    2  5.0436E+03 -3.7142E+03  1.876208E+18  1.193570E+17  8.366574E+16
   72    2  5.1166E+03 -3.7678E+03  5.043876E+18  1.931904E+17  1.119435E+17
   73    2  5.1977E+03 -3.8547E+03  6.172112E+18  2.428489E+17  1.651227E+17
   74    2  5.2696E+03 -3.9551E+03  9.432921E+18  3.279124E+17  2.593283E+17
   75    2  5.3305E+03 -4.0538E+03  8.076055E+18  3.241698E+17  3.471530E+17
   76    2  5.3816E+03 -4.1440E+03  1.263392E+19  3.789008E+17  3.887691E+17
   77    2  5.4232E+03 -4.2214E+03  1.035891E+19  4.777802E+17  6.720966E+17
   78    2  5.4560E+03 -4.2846E+03  1.831445E+19  5.885451E+17  1.162307E+18
   79    2  5.4814E+03 -4.3349E+03  2.895789E+19  8.838579E+17  1.825647E+18
   80    2  5.5010E+03 -4.3744E+03  2.851599E+19  9.943649E+17  2.164831E+18
   81    2  5.5161E+03 -4.4052E+03  3.323841E+19  1.461098E+18  2.217533E+18
   82    2  5.5275E+03 -4.4288E+03  2.277504E+19  1.447989E+18  1.786091E+18
   83    2  5.5360E+03 -4.4464E+03  1.645654E+19  1.913356E+18  1.310084E+18
   84    2  5.5420E+03 -4.4590E+03  1.015903E+19  1.812788E+18  1.012987E+18
   85    2  5.5461E+03 -4.4677E+03  1.074621E+19  2.179589E+18  9.327762E+17
   86    2  5.5488E+03 -4.4734E+03  1.595175E+19  1.920018E+18  1.745410E+18
   87    2  5.5506E+03 -4.4771E+03  8.903199E+18  2.293136E+18  1.125282E+18
   88    2  5.5519E+03 -4.4798E+03  1.877289E+19  2.183576E+18  2.058326E+18
   89    2  5.5529E+03 -4.4818E+03  3.145916E+18  1.135167E+18  6.817388E+17
   90    2  5.5538E+03 -4.4838E+03  7.765702E+18  1.232152E+18  7.588473E+17
    1    3  4.1893E+03 -3.8655E+03  4.281177E+18  1.066678E+19  1.169218E+18
    2    3  4.1912E+03 -3.8647E+03  1.150343E+19  9.165368E+18  1.130174E+18
    3    3  4.1932E+03 -3.8639E+03  6.918284E+18  6.067032E+18  1.597386E+18
    4    3  4.1957E+03 -3.8629E+03  1.050133E+19  5.355300E+18  2.191627E+18
    5    3  4.1993E+03 -3.8614E+03  1.268082E+19  4.038253E+18  2.898066E+18
    6    3  4.2048E+03 -3.8592E+03  2.916924E+19  4.826166E+18  1.714249E+18
    7    3  4.2130E+03 -3.8559E+03  3.988948E+19  4.100088E+18  2.642467E+18
    8    3  4.2250E+03 -3.8511E+03  5.376091E+19  3.232793E+18  1.994157E+18
    9    3  4.2415E+03 -3.8445E+03  6.166353E+19  3.598550E+18  3.179056E+18
   10    3  4.2637E+03 -3.8357E+03  5.748311E+19  2.375866E+18  2.127123E+18
   11    3  4.2926E+03 -3.8244E+03  5.566797E+19  2.543659E+18  1.665825E+18
   12    3  4.3294E+03 -3.8101E+03  4.679848E+19  2.019211E+18  6.786064E+17
   13    3  4.3758E+03 -3.7925E+03  2.285633E+19  1.600191E+18  5.217900E+17
   14    3  4.4339E+03 -3.7712E+03  1.126534E+19  1.105565E+18  4.372634E+17
   15    3  4.5056E+03 -3.7461E+03  2.187570E+19  9.956091E+17  2.769477E+17
   16    3  4.5916E+03 -3.7182E+03  1.024761E+19  8.796977E+17  2.164078E+17
   17    3  4.6904E+03 -3.6904E+03  8.437733E+18  4.501521E+17  2.664632E+17
   18    3  4.7988E+03 -3.6682E+03  4.625504E+18  2.595058E+17  1.486674E+17
   19    3  4.9058E+03 -3.6608E+03  5.670821E+18  1.686880E+17  6.350518E+16
