   10   24   30    1   10     /NEON               /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
  -0.69877  -0.52268  -0.30083  -0.15470   0.00020   0.17629   0.30123   0.47732
   0.69917   0.84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 0  /--------/ Z1= 1   / DATE= 20/12/00
 -25.72493 -25.72747 -25.73392 -25.74297 -25.75807 -25.79518 -25.84025 -25.89721
 -25.55451 -25.55451 -25.55451 -25.55451 -25.55451 -25.55451 -25.55451 -25.55451
 -25.55451 -25.55451 -25.55451 -25.55451 -25.55450 -25.55442 -25.55420 -25.55470
 -25.55618 -25.55805 -25.56410 -25.57445 -25.59103 -25.62856 -25.67298 -25.73069
 -25.43888 -25.43888 -25.43888 -25.43888 -25.43888 -25.43888 -25.43888 -25.43888
 -25.43887 -25.43890 -25.43891 -25.43878 -25.43912 -25.43992 -25.44007 -25.44038
 -25.44185 -25.44385 -25.44938 -25.45855 -25.47427 -25.51179 -25.55641 -25.61316
 -25.40337 -25.40337 -25.40337 -25.40337 -25.40337 -25.40337 -25.40337 -25.40337
 -25.40337 -25.40337 -25.40337 -25.40337 -25.40337 -25.40335 -25.40324 -25.40357
 -25.40481 -25.40727 -25.41321 -25.42153 -25.43642 -25.47228 -25.51481 -25.57013
 -25.38682 -25.38682 -25.38682 -25.38682 -25.38682 -25.38682 -25.38681 -25.38681
 -25.38682 -25.38681 -25.38681 -25.38684 -25.38676 -25.38669 -25.38715 -25.38798
 -25.38850 -25.39007 -25.39527 -25.40330 -25.41769 -25.45191 -25.49240 -25.54561
 -25.38754 -25.38754 -25.38754 -25.38754 -25.38754 -25.38754 -25.38754 -25.38754
 -25.38754 -25.38754 -25.38754 -25.38754 -25.38755 -25.38759 -25.38758 -25.38821
 -25.38944 -25.39075 -25.39462 -25.40190 -25.41518 -25.44671 -25.48453 -25.53561
 -25.39730 -25.39730 -25.39730 -25.39730 -25.39730 -25.39730 -25.39730 -25.39730
 -25.39730 -25.39730 -25.39730 -25.39729 -25.39731 -25.39731 -25.39719 -25.39742
 -25.39843 -25.40017 -25.40428 -25.41052 -25.42251 -25.45210 -25.48798 -25.53697
 -25.42006 -25.42006 -25.42006 -25.42006 -25.42006 -25.42006 -25.42006 -25.42006
 -25.42006 -25.42006 -25.42006 -25.42006 -25.42007 -25.42009 -25.41998 -25.41998
 -25.42063 -25.42240 -25.42655 -25.43196 -25.44198 -25.46786 -25.50086 -25.54726
 -25.45697 -25.45697 -25.45697 -25.45697 -25.45697 -25.45697 -25.45697 -25.45697
 -25.45697 -25.45697 -25.45696 -25.45700 -25.45690 -25.45684 -25.45750 -25.45830
 -25.45815 -25.45880 -25.46215 -25.46727 -25.47592 -25.49777 -25.52673 -25.56921
 -25.48545 -25.48545 -25.48545 -25.48545 -25.48545 -25.48545 -25.48545 -25.48545
 -25.48545 -25.48545 -25.48545 -25.48544 -25.48547 -25.48548 -25.48532 -25.48563
 -25.48653 -25.48705 -25.48906 -25.49369 -25.50154 -25.52118 -25.54759 -25.58696
 -25.51574 -25.51574 -25.51574 -25.51574 -25.51574 -25.51574 -25.51574 -25.51574
 -25.51574 -25.51574 -25.51574 -25.51573 -25.51576 -25.51578 -25.51561 -25.51590
 -25.51685 -25.51762 -25.51922 -25.52259 -25.52953 -25.54757 -25.57145 -25.60787
 -25.54992 -25.54992 -25.54992 -25.54992 -25.54992 -25.54992 -25.54992 -25.54992
 -25.54992 -25.54992 -25.54991 -25.54993 -25.54989 -25.54985 -25.55018 -25.55075
 -25.55115 -25.55228 -25.55388 -25.55558 -25.56147 -25.57800 -25.59905 -25.63221
 -25.57417 -25.57417 -25.57417 -25.57417 -25.57417 -25.57417 -25.57417 -25.57417
