{NUMBER OF COLUMNS}       5
*
* SHOTS  =   24861
* TIMES  =     0.233333 to     0.249333 s
* SMOOTH =       7
* SAMPLE =       1
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.978834    0.386333    0.000000    1.45E+19       15.68
    0.979155    0.393757    0.000000    1.38E+19       14.72
    0.983275    0.384211    0.000000    1.38E+19       13.79
    0.987746    0.382090    0.000000    1.30E+19       12.60
    0.990764    0.378967    0.000000    1.28E+19       12.42
    0.994063    0.384346    0.000000    1.21E+19       10.79
    0.994186    0.376815    0.000000    1.17E+19       10.91
    0.998696    0.374663    0.000000    1.17E+19       10.60
    1.003233    0.372512    0.000000    1.15E+19       10.19
    1.005580    0.369479    0.000000    1.10E+19        9.73
    1.008550    0.374934    0.000000    1.09E+19        9.25
    1.009090    0.367298    0.000000    1.06E+19        8.82
    1.013658    0.365116    0.000000    1.06E+19        9.14
    1.018251    0.362935    0.000000    1.05E+19        8.67
    1.019941    0.359993    0.000000    1.05E+19        8.87
    1.022614    0.365522    0.000000    1.07E+19        8.80
    1.023532    0.357780    0.000000    1.06E+19        8.75
    1.028148    0.355569    0.000000    1.07E+19        8.76
    1.032791    0.353357    0.000000    1.09E+19        9.00
    1.033846    0.350506    0.000000    1.08E+19        8.69
    1.036248    0.356111    0.000000    1.09E+19        8.52
    1.037509    0.348264    0.000000    1.08E+19        8.07
    1.042175    0.346021    0.000000    1.04E+19        7.99
    1.046342    0.341711    0.000000    1.02E+19        7.82
    1.046863    0.343780    0.000000    9.94E+18        7.94
    1.048507    0.347385    0.000000    9.82E+18        7.56
    1.050072    0.339440    0.000000    9.34E+18        7.19
    1.054777    0.337171    0.000000    9.34E+18        7.07
    1.058473    0.332916    0.000000    9.17E+18        7.08
    1.059509    0.334901    0.000000    9.36E+18        6.74
    1.060409    0.338660    0.000000    9.68E+18        6.54
    1.062264    0.330618    0.000000    9.61E+18        6.36
    1.067009    0.328320    0.000000    9.49E+18        6.41
    1.070240    0.324119    0.000000    9.71E+18        6.42
    1.071776    0.326022    0.000000    9.69E+18        6.32
    1.071968    0.329934    0.000000    9.77E+18        6.40
    1.074083    0.321794    0.000000    9.36E+18        6.59
    1.078859    0.319468    0.000000    9.49E+18        6.47
    1.081635    0.315324    0.000000    9.67E+18        6.30
    1.083174    0.321209    0.000000    9.86E+18        6.09
    1.083656    0.317143    0.000000    9.93E+18        6.04
    1.085529    0.312971    0.000000    9.80E+18        6.00
    1.090335    0.310617    0.000000    9.89E+18        5.79
    1.092675    0.306529    0.000000    1.03E+19        5.55
    1.094034    0.312484    0.000000    1.02E+19        5.49
    1.095160    0.308264    0.000000    1.04E+19        5.41
    1.096617    0.304147    0.000000    1.03E+19        5.57
    1.101451    0.301765    0.000000    1.04E+19        5.50
    1.103366    0.297734    0.000000    1.07E+19        5.49
    1.104559    0.303758    0.000000    1.07E+19        5.48
    1.106302    0.299384    0.000000    1.07E+19        5.40
    1.107348    0.295325    0.000000    1.03E+19        5.59
    1.112201    0.292915    0.000000    1.03E+19        5.45
    1.113701    0.288939    0.000000    1.02E+19        5.34
    1.114751    0.295032    0.000000    1.02E+19        5.18
    1.117072    0.290505    0.000000    9.91E+18        5.07
    1.117720    0.286501    0.000000    9.73E+18        5.10
    1.118920    0.284380    0.000000    9.73E+18        5.05
    1.119897    0.290511    0.000000    1.01E+19        4.78
    1.122589    0.284064    0.000000    9.73E+18        4.83
    1.122955    0.281929    0.000000    9.91E+18        4.59
    1.124046    0.279822    0.000000    9.77E+18        4.65
    1.124956    0.285989    0.000000    1.00E+19        4.42
    1.127476    0.281626    0.000000    9.95E+18        4.27
    1.127833    0.279477    0.000000    9.52E+18        4.37
    1.128100    0.277355    0.000000    9.52E+18        4.19
    1.129081    0.275265    0.000000    9.59E+18        4.27
    1.129926    0.281467    0.000000    9.47E+18        4.26
    1.132727    0.277025    0.000000    9.37E+18        4.25
