{NUMBER OF COLUMNS}       4
*
* SHOTS  =   24861
* TIMES  =     0.230053 to     0.249813 s
*
*       PSIn        jsat        jsol          Te
*                (A m-2)       (A ?)        (eV)
{DATA LIST}
    1.047573    1.08E+04    4.00E+03        8.46
    1.047906    1.00E+04    6.11E+03        5.08
    1.048023    1.20E+04    4.62E+03        9.14
    1.048324    1.48E+04    6.92E+03        7.63
    1.048474    1.21E+04    4.00E+03        9.58
    1.048666    1.71E+04    1.20E+04        4.96
    1.048925    1.31E+04    5.77E+03        8.77
    1.049078    1.32E+04    5.24E+03        7.68
    1.049376    1.12E+04    3.13E+03        9.22
    1.049425    1.39E+04    9.77E+03        5.97
    1.049832    1.28E+04    4.32E+03        9.11
    1.050185    1.49E+04    9.56E+03        5.90
    1.050586    1.29E+04    6.94E+03        6.89
    1.050944    1.31E+04    8.02E+03        5.10
    1.051339    1.22E+04    6.05E+03        7.79
    1.051703    1.06E+04    7.86E+03        8.08
    1.052093    1.13E+04    7.85E+03        5.36
    1.052463    1.23E+04    8.69E+03        5.59
    1.052847    9.45E+03    4.27E+03        5.19
    1.053601    7.53E+03    4.75E+03        4.80
    1.054355    1.88E+04    1.16E+04        2.41
    1.055108    1.25E+04    5.75E+03        6.54
    1.055810    1.30E+04    7.86E+03        7.77
    1.055825    8.62E+03    3.60E+03        8.80
    1.055862    1.38E+04    5.16E+03        9.21
    1.056292    9.61E+03    4.79E+03        6.17
    1.056556    1.06E+04    6.50E+03        6.57
    1.056616    1.21E+04    4.55E+03        9.95
    1.056758    1.02E+04    5.04E+03        6.85
    1.057225    8.60E+03    5.51E+03        6.27
    1.057302    1.12E+04    4.12E+03       10.10
    1.057370    1.05E+04    5.81E+03        5.56
    1.057691    8.83E+03    1.71E+03        9.88
    1.058048    1.06E+04    4.29E+03       10.23
    1.058124    1.13E+04    6.49E+03        5.36
    1.058467    1.48E+04    6.02E+03        7.92
    1.058487    7.10E+03    4.19E+03        5.11
    1.058794    1.09E+04    3.33E+03        9.27
    1.058959    9.08E+03    2.03E+03       10.68
    1.059210    1.08E+04    5.05E+03        9.35
    1.059431    9.41E+03    5.18E+03        6.01
    1.059540    9.27E+03    5.59E+03        5.76
    1.059903    8.39E+03    2.45E+03        9.31
    1.059954    1.00E+04    4.91E+03        9.60
    1.060286    1.01E+04    4.99E+03        6.21
    1.060375    8.75E+03    3.22E+03        9.42
    1.060697    1.07E+04    4.46E+03       10.00
    1.061032    8.17E+03    4.10E+03        6.52
    1.061441    9.71E+03    4.70E+03        8.71
    1.061778    7.12E+03    2.92E+03        7.86
    1.062184    9.60E+03    3.84E+03        9.34
    1.062523    1.97E+04    8.47E+03        8.24
    1.062928    9.85E+03    7.81E+03        7.14
    1.063269    8.98E+03    3.59E+03        9.41
    1.063652    2.42E+04    1.13E+04        5.56
    1.063671    8.29E+03    4.84E+03        5.85
    1.063681    7.39E+03    4.24E+03        5.82
    1.064016    1.08E+04    5.87E+03        5.78
    1.064164    8.85E+03    2.05E+03       10.64
    1.064391    9.94E+03    3.41E+03       10.08
    1.064415    6.90E+03    3.76E+03        9.07
    1.064648    9.76E+03    7.91E+03        4.71
    1.064761    9.52E+03    6.64E+03        5.42
    1.065130    1.02E+04    4.44E+03        9.43
    1.065131    7.78E+03    2.56E+03        9.37
    1.065158    1.93E+04    1.05E+04        5.52
    1.065507    7.65E+03    4.54E+03        5.47
    1.065614    8.82E+03    7.66E+03        3.92
    1.065869    9.47E+03    3.98E+03        9.40
    1.065902    8.12E+03    4.84E+03        4.97
    1.066253    9.01E+03    5.15E+03        4.86
    1.066607    9.11E+03    4.49E+03        9.21
    1.066646    9.58E+03    5.18E+03        4.77
    1.067346    9.23E+03    4.42E+03        8.79
    1.067389    8.96E+03    5.08E+03        4.88
    1.068085    9.39E+03    3.86E+03        9.00
    1.068133    7.73E+03    5.13E+03        5.00
    1.068671    1.92E+04    6.96E+03        7.44
    1.068708    5.82E+03    5.82E+03        1.83
    1.068824    8.87E+03    8.18E+03        5.47
    1.068876    8.05E+03    4.05E+03        7.14
    1.069203    7.71E+03    1.25E+03        9.46
    1.069405    8.60E+03    2.96E+03        9.10
    1.069563    6.90E+03    4.40E+03        4.65
    1.069699    7.91E+03    3.02E+03        9.49
    1.070140    8.18E+03    2.44E+03        8.92
    1.070194    6.82E+03    1.91E+03        9.98
    1.070302    1.70E+04    1.01E+04        5.09
    1.070689    7.70E+03    4.74E+03        5.01
    1.070874    8.46E+03    3.28E+03        8.92
    1.071041    7.90E+03    3.89E+03        9.28
    1.071608    8.27E+03    3.05E+03        9.30
    1.071779    9.43E+03    4.13E+03        9.83
    1.072343    8.27E+03    2.87E+03        9.24
    1.072518    9.46E+03    3.56E+03        8.05
    1.073077    7.93E+03    4.59E+03        5.57
    1.073257    7.22E+03    3.39E+03        9.19
    1.073529    1.62E+04    9.54E+03        6.01
    1.073575    6.15E+03    3.22E+03        9.03
    1.073812    7.94E+03    3.83E+03        9.08
    1.073996    7.12E+03    5.45E+03        3.74
    1.074082    7.78E+03    2.99E+03        8.41
    1.074259    8.32E+03    3.32E+03        9.52
    1.074546    6.80E+03    4.37E+03        4.32
    1.074589    8.08E+03    3.29E+03        9.43
    1.074989    7.97E+03    3.83E+03        9.09
    1.075097    7.76E+03    3.02E+03        9.38
    1.075281    1.32E+04    9.43E+03        4.59
    1.075604    8.63E+03    3.29E+03        8.93
    1.075719    7.32E+03    2.38E+03        8.82
    1.076015    6.69E+03    4.23E+03        6.35
    1.076450    7.57E+03    4.88E+03        5.29
    1.076749    7.39E+03    5.29E+03        4.45
    1.077180    7.65E+03    2.53E+03        7.40
    1.077484    7.07E+03    4.72E+03        4.15
    1.077910    7.29E+03    2.54E+03        7.56
    1.078218    6.25E+03    4.66E+03        3.69
    1.078233    1.61E+04    5.54E+03        7.46
    1.078288    5.76E+03    2.04E+03        7.88
    1.078641    7.41E+03    3.12E+03        7.28
    1.078807    6.79E+03    4.21E+03        7.00
    1.078953    6.33E+03    2.25E+03        7.61
    1.078959    7.15E+03    3.68E+03        8.99
    1.079326    7.48E+03    2.53E+03        9.45
    1.079371    7.29E+03    3.33E+03        7.32
    1.079685    7.37E+03    4.23E+03        4.40
    1.079845    7.34E+03    3.29E+03        8.30
    1.080101    1.37E+04    4.93E+03        9.45
    1.080364    8.48E+03    2.96E+03        7.41
    1.080412    6.95E+03    2.52E+03        7.65
    1.080831    6.53E+03    4.86E+03        3.76
    1.081138    6.56E+03    2.52E+03        7.63
    1.081562    6.73E+03    4.44E+03        4.22
    1.081864    7.15E+03    2.98E+03        7.66
    1.082292    5.83E+03    4.36E+03        3.22
    1.082591    6.55E+03    2.49E+03        7.43
    1.082789    1.18E+04    2.71E+03        9.91
    1.082853    5.80E+03    2.11E+03        7.69
    1.083022    6.32E+03    3.99E+03        3.80
    1.083317    6.84E+03    4.41E+03        5.84
    1.083384    6.03E+03    1.99E+03        7.84
    1.083512    6.49E+03    1.87E+03        8.61
    1.083753    6.05E+03    1.85E+03        7.89
    1.083915    6.94E+03    2.07E+03        9.33
    1.084043    6.52E+03    4.39E+03        3.64
    1.084234    7.12E+03    4.67E+03        4.07
    1.084446    6.51E+03    2.38E+03        8.08
    1.084770    1.07E+04    8.39E+03        4.12
    1.084957    5.77E+03    3.42E+03        4.07
    1.084977    7.81E+03    1.83E+03        9.15
    1.085014    1.09E+04    5.22E+03        7.19
    1.085082    4.94E+03    2.23E+03        5.03
    1.085496    6.23E+03    3.34E+03        5.39
    1.085619    5.73E+03    3.80E+03        4.80
    1.085679    6.19E+03    4.53E+03        3.74
    1.085734    6.45E+03    2.26E+03        9.26
    1.086156    6.60E+03    2.72E+03        9.39
    1.086222    6.28E+03    4.25E+03        3.90
    1.086402    6.24E+03    3.61E+03        3.98
    1.086455    6.27E+03    3.14E+03        5.55
    1.086692    6.62E+03    1.92E+03        9.48
    1.086949    6.06E+03    4.96E+03        3.11
    1.087124    6.47E+03    1.93E+03        7.45
    1.087176    5.72E+03    2.90E+03        5.38
    1.087204    1.05E+04    4.09E+03       10.49
    1.087229    7.42E+03    2.26E+03       10.08
    1.087277    5.13E+03    1.03E+03        9.93
    1.087675    5.89E+03    4.31E+03        3.57
    1.087819    5.70E+03    4.37E+02       10.57
    1.087847    6.83E+03    4.40E+03        4.31
    1.087897    5.96E+03    3.92E+03        4.62
    1.087923    6.07E+03    3.40E+03        6.10
    1.088361    5.75E+03    8.43E+02       10.14
    1.088401    5.82E+03    4.62E+03        2.81
    1.088570    5.74E+03    4.46E+03        3.04
    1.088617    5.88E+03    2.92E+03        5.27
    1.088642    5.63E+03    2.87E+03        5.15
    1.088904    6.37E+03    2.27E+03        9.41
    1.089292    1.13E+04    6.94E+03        5.60
    1.089338    5.95E+03    3.53E+03        7.08
    1.089360    1.03E+04    3.28E+02       13.98
    1.089361    4.90E+03    2.89E+03        4.72
    1.089437    5.42E+03    1.54E+03       12.90
    1.089446    6.35E+03    5.92E+02       10.56
    1.089985    5.66E+03    2.97E+03        5.42
    1.090015    5.82E+03    3.58E+03        4.41
    1.090059    6.33E+03    4.22E+03        5.35
    1.090077    6.09E+03    2.78E+03        5.64
    1.090080    5.76E+03    3.62E+03        4.98
    1.090533    5.22E+03    1.29E+03       12.91
