number of heading lines in this data file : 30
Field Line Tracing Calculations (FLT) performed with CASTEM
Date CASTEM calculations : 14/04/2010
Date post-processing data : 10/06/2010
Modif compared to latest version (26/04/2010): change precision to 5 digits - correct the problem : some entering points shifted 

FIRST WALL GEOMETRY
Outer wall and upper panels from BM8 to BM18
NB. 3D gemoetry of lower baffle not incorporated in the code, horizontal cut in the CASTEM code,
Field line tracing calculations are stopped for the points reaching a vertical location below Z ~ -3.27 m
EQUILIBRIUM
Steady-state, 15 MA, Scenario 1, ITER (eqdsk high resolution, "Baseline 2010", FST, Corsica, Feb. 2010)

PARAMETERS
origin location : omp, Z = 0.60 
number of field lines followed :  300 
Radial extent of origin : from R = 8.3000  m to R = 8.3850 m
radial resolution at origin : 0.000283 
dphi step for FLT calculations in CASTEM : 0.50 
number of steps for calculation in CASTEM - toward the top :   590 
number of steps for calculation in CASTEM - toward the bottom :  340 
number of tangency points :     41 
number of points entering a surface :   2996 
number of points leaving a surface :   2792 
max number of intersection from omp toward top :    30 
max number of intersection from omp toward bottom :    12 
maximum connection length toward top : 32.60 
maximum connection length toward bottom : -21.18 
 102.00000 8.32871 0.00000 0.60000 23.00000 5.00000 28.00000 
 103.00000 8.32900 0.00000 0.60000 23.00000 5.00000 28.00000 
 104.00000 8.32928 0.00000 0.60000 24.00000 5.00000 29.00000 
 105.00000 8.32957 0.00000 0.60000 24.00000 5.00000 29.00000 
 106.00000 8.32985 0.00000 0.60000 24.00000 5.00000 29.00000 
 107.00000 8.33013 0.00000 0.60000 26.00000 5.00000 31.00000 
 108.00000 8.33042 0.00000 0.60000 27.00000 5.00000 32.00000 
 109.00000 8.33070 0.00000 0.60000 28.00000 5.00000 33.00000 
 110.00000 8.33099 0.00000 0.60000 28.00000 4.00000 32.00000 
 111.00000 8.33127 0.00000 0.60000 28.00000 4.00000 32.00000 
 112.00000 8.33156 0.00000 0.60000 28.00000 4.00000 32.00000 
 113.00000 8.33184 0.00000 0.60000 30.00000 4.00000 34.00000 
 114.00000 8.33212 0.00000 0.60000 30.00000 4.00000 34.00000 
 115.00000 8.33241 0.00000 0.60000 30.00000 4.00000 34.00000 
 116.00000 8.33269 0.00000 0.60000 30.00000 4.00000 34.00000 
 117.00000 8.33298 0.00000 0.60000 30.00000 4.00000 34.00000 
 118.00000 8.33326 0.00000 0.60000 30.00000 4.00000 34.00000 
 119.00000 8.33355 0.00000 0.60000 30.00000 4.00000 34.00000 
 120.00000 8.33383 0.00000 0.60000 30.00000 4.00000 34.00000 
 121.00000 8.33411 0.00000 0.60000 30.00000 4.00000 34.00000 
 122.00000 8.33440 0.00000 0.60000 30.00000 5.00000 35.00000 
 123.00000 8.33468 0.00000 0.60000 30.00000 5.00000 35.00000 
 124.00000 8.33497 0.00000 0.60000 30.00000 6.00000 36.00000 
 125.00000 8.33525 0.00000 0.60000 30.00000 6.00000 36.00000 
 126.00000 8.33554 0.00000 0.60000 30.00000 6.00000 36.00000 
 127.00000 8.33582 0.00000 0.60000 30.00000 6.00000 36.00000 
 128.00000 8.33610 0.00000 0.60000 30.00000 6.00000 36.00000 
 129.00000 8.33639 0.00000 0.60000 29.00000 6.00000 35.00000 
 130.00000 8.33667 0.00000 0.60000 29.00000 6.00000 35.00000 
 131.00000 8.33696 0.00000 0.60000 29.00000 6.00000 35.00000 
 132.00000 8.33724 0.00000 0.60000 29.00000 6.00000 35.00000 
 133.00000 8.33753 0.00000 0.60000 29.00000 6.00000 35.00000 
 134.00000 8.33781 0.00000 0.60000 29.00000 6.00000 35.00000 
 135.00000 8.33809 0.00000 0.60000 29.00000 6.00000 35.00000 
 136.00000 8.33838 0.00000 0.60000 29.00000 6.00000 35.00000 
 137.00000 8.33866 0.00000 0.60000 29.00000 6.00000 35.00000 
 138.00000 8.33895 0.00000 0.60000 29.00000 6.00000 35.00000 
 139.00000 8.33923 0.00000 0.60000 29.00000 6.00000 35.00000 
 140.00000 8.33952 0.00000 0.60000 29.00000 6.00000 35.00000 
 141.00000 8.33980 0.00000 0.60000 29.00000 6.00000 35.00000 
 142.00000 8.34008 0.00000 0.60000 28.00000 6.00000 34.00000 
 143.00000 8.34037 0.00000 0.60000 28.00000 6.00000 34.00000 
 144.00000 8.34065 0.00000 0.60000 28.00000 6.00000 34.00000 
 145.00000 8.34094 0.00000 0.60000 28.00000 6.00000 34.00000 
 146.00000 8.34122 0.00000 0.60000 28.00000 7.00000 35.00000 
 147.00000 8.34151 0.00000 0.60000 28.00000 7.00000 35.00000 
 148.00000 8.34179 0.00000 0.60000 28.00000 7.00000 35.00000 
 149.00000 8.34207 0.00000 0.60000 28.00000 6.00000 34.00000 
 150.00000 8.34236 0.00000 0.60000 26.00000 7.00000 33.00000 
 151.00000 8.34264 0.00000 0.60000 26.00000 7.00000 33.00000 
 152.00000 8.34293 0.00000 0.60000 25.00000 7.00000 32.00000 
 153.00000 8.34321 0.00000 0.60000 25.00000 7.00000 32.00000 
 154.00000 8.34349 0.00000 0.60000 25.00000 7.00000 32.00000 
 155.00000 8.34378 0.00000 0.60000 25.00000 7.00000 32.00000 
 156.00000 8.34406 0.00000 0.60000 25.00000 7.00000 32.00000 
 157.00000 8.34435 0.00000 0.60000 25.00000 7.00000 32.00000 
 158.00000 8.34463 0.00000 0.60000 25.00000 7.00000 32.00000 
 159.00000 8.34492 0.00000 0.60000 25.00000 7.00000 32.00000 
 160.00000 8.34520 0.00000 0.60000 25.00000 7.00000 32.00000 
 161.00000 8.34548 0.00000 0.60000 25.00000 7.00000 32.00000 
 162.00000 8.34577 0.00000 0.60000 23.00000 7.00000 30.00000 
 163.00000 8.34605 0.00000 0.60000 23.00000 7.00000 30.00000 
 164.00000 8.34634 0.00000 0.60000 21.00000 7.00000 28.00000 
 165.00000 8.34662 0.00000 0.60000 21.00000 7.00000 28.00000 
 166.00000 8.34691 0.00000 0.60000 19.00000 7.00000 26.00000 
 167.00000 8.34719 0.00000 0.60000 17.00000 7.00000 24.00000 
 168.00000 8.34747 0.00000 0.60000 17.00000 7.00000 24.00000 
 169.00000 8.34776 0.00000 0.60000 17.00000 7.00000 24.00000 
 170.00000 8.34804 0.00000 0.60000 17.00000 6.00000 23.00000 
 171.00000 8.34833 0.00000 0.60000 17.00000 6.00000 23.00000 
 172.00000 8.34861 0.00000 0.60000 17.00000 7.00000 24.00000 
 173.00000 8.34890 0.00000 0.60000 17.00000 7.00000 24.00000 
 174.00000 8.34918 0.00000 0.60000 17.00000 6.00000 23.00000 
 175.00000 8.34946 0.00000 0.60000 17.00000 6.00000 23.00000 
 176.00000 8.34975 0.00000 0.60000 17.00000 7.00000 24.00000 
 177.00000 8.35003 0.00000 0.60000 15.00000 7.00000 22.00000 
 178.00000 8.35032 0.00000 0.60000 15.00000 7.00000 22.00000 
 179.00000 8.35060 0.00000 0.60000 15.00000 7.00000 22.00000 
 180.00000 8.35089 0.00000 0.60000 15.00000 7.00000 22.00000 
