# ITER#1540 (F57 ref-20-NF-C0, tau=0.3e-6, ntime=150)  - 82.7 ms
# Atomic density (m^-3)
   ix   iy      x           y           z01           z02           z03
   65    2  6.6846E+03 -2.2077E+03  0.000000E+00  0.000000E+00  0.000000E+00
   66    2  6.3937E+03 -2.4047E+03  0.000000E+00  0.000000E+00  0.000000E+00
   67    2  6.0901E+03 -2.5695E+03  0.000000E+00  0.000000E+00  0.000000E+00
   68    2  5.7913E+03 -2.6785E+03  0.000000E+00  0.000000E+00  0.000000E+00
   69    2  5.5486E+03 -2.7044E+03  0.000000E+00  0.000000E+00  0.000000E+00
   70    2  5.4379E+03 -2.6895E+03  6.803595E+18  3.353152E+16  3.044572E+16
   71    2  5.0436E+03 -3.7142E+03  1.213319E+19  9.586383E+16  1.419281E+17
   72    2  5.1166E+03 -3.7678E+03  8.355269E+18  1.810228E+17  2.510874E+17
   73    2  5.1977E+03 -3.8547E+03  1.648852E+19  1.727320E+17  3.223336E+17
   74    2  5.2696E+03 -3.9551E+03  1.959674E+19  2.319436E+17  3.691384E+17
   75    2  5.3305E+03 -4.0538E+03  2.183213E+19  2.543643E+17  5.096341E+17
   76    2  5.3816E+03 -4.1440E+03  4.369120E+19  2.465203E+17  7.073024E+17
   77    2  5.4232E+03 -4.2214E+03  3.817578E+19  3.365739E+17  1.163939E+18
   78    2  5.4560E+03 -4.2846E+03  5.664834E+19  4.273341E+17  1.735023E+18
   79    2  5.4814E+03 -4.3349E+03  5.808303E+19  5.452637E+17  2.105360E+18
   80    2  5.5010E+03 -4.3744E+03  5.212689E+19  7.243331E+17  2.482555E+18
   81    2  5.5161E+03 -4.4052E+03  6.337928E+19  9.034748E+17  2.072818E+18
   82    2  5.5275E+03 -4.4288E+03  4.401693E+19  1.281973E+18  1.624162E+18
   83    2  5.5360E+03 -4.4464E+03  4.932692E+19  1.507073E+18  1.342447E+18
   84    2  5.5420E+03 -4.4590E+03  2.694937E+19  1.967400E+18  9.448241E+17
   85    2  5.5461E+03 -4.4677E+03  1.953647E+19  2.065118E+18  9.489128E+17
   86    2  5.5488E+03 -4.4734E+03  1.123014E+19  2.352367E+18  1.121586E+18
   87    2  5.5506E+03 -4.4771E+03  6.709153E+18  2.435782E+18  8.247663E+17
   88    2  5.5519E+03 -4.4798E+03  7.914156E+18  2.697935E+18  1.037742E+18
   89    2  5.5529E+03 -4.4818E+03  3.700783E+18  1.326917E+18  3.856864E+17
   90    2  5.5538E+03 -4.4838E+03  3.695350E+18  1.478760E+18  5.027824E+17
    1    3  4.1893E+03 -3.8655E+03  2.535992E+19  6.843667E+18  9.060873E+17
    2    3  4.1912E+03 -3.8647E+03  2.966586E+19  5.764443E+18  1.052236E+18
    3    3  4.1932E+03 -3.8639E+03  3.108421E+19  4.121383E+18  1.350832E+18
    4    3  4.1957E+03 -3.8629E+03  1.190273E+19  3.812630E+18  1.013820E+18
    5    3  4.1993E+03 -3.8614E+03  1.826185E+19  4.262807E+18  1.168105E+18
    6    3  4.2048E+03 -3.8592E+03  6.526457E+19  2.962814E+18  1.694402E+18
    7    3  4.2130E+03 -3.8559E+03  4.847593E+19  3.122953E+18  2.015156E+18
    8    3  4.2250E+03 -3.8511E+03  7.513242E+19  2.729553E+18  2.297708E+18
    9    3  4.2415E+03 -3.8445E+03  7.260761E+19  1.934878E+18  4.206682E+18
   10    3  4.2637E+03 -3.8357E+03  6.058078E+19  1.603662E+18  3.235752E+18
   11    3  4.2926E+03 -3.8244E+03  5.473068E+19  1.315273E+18  2.800824E+18
   12    3  4.3294E+03 -3.8101E+03  4.752135E+19  8.947625E+17  1.806338E+18
   13    3  4.3758E+03 -3.7925E+03  3.181839E+19  7.070017E+17  1.333330E+18
   14    3  4.4339E+03 -3.7712E+03  1.813478E+19  8.582209E+17  1.085361E+18
   15    3  4.5056E+03 -3.7461E+03  3.327917E+19  6.156799E+17  9.119284E+17
   16    3  4.5916E+03 -3.7182E+03  3.309586E+19  8.687515E+17  5.560668E+17
   17    3  4.6904E+03 -3.6904E+03  2.786144E+19  4.118812E+17  4.368103E+17
   18    3  4.7988E+03 -3.6682E+03  1.406835E+19  1.659108E+17  2.956890E+17
   19    3  4.9058E+03 -3.6608E+03  1.251947E+19  7.538182E+16  1.891786E+17
   20    3  4.9882E+03 -3.6704E+03  1.221813E+19  6.084295E+16  2.955292E+17
   21    3  5.3781E+03 -2.7440E+03  0.000000E+00  0.000000E+00  0.000000E+00
   22    3  5.2724E+03 -2.6541E+03  0.000000E+00  0.000000E+00  0.000000E+00
   23    3  5.1044E+03 -2.4345E+03  0.000000E+00  0.000000E+00  0.000000E+00
   24    3  4.9526E+03 -2.1336E+03  0.000000E+00  0.000000E+00  0.000000E+00
   25    3  4.8209E+03 -1.8034E+03  0.000000E+00  0.000000E+00  0.000000E+00
   26    3  4.7051E+03 -1.4641E+03  0.000000E+00  0.000000E+00  0.000000E+00
   27    3  4.6042E+03 -1.1197E+03  0.000000E+00  0.000000E+00  0.000000E+00
   28    3  4.5178E+03 -7.7138E+02  0.000000E+00  0.000000E+00  0.000000E+00
   29    3  4.4465E+03 -4.1968E+02  0.000000E+00  0.000000E+00  0.000000E+00
   30    3  4.3893E+03 -6.5464E+01  0.000000E+00  0.000000E+00  0.000000E+00
   31    3  4.3484E+03  2.9069E+02  0.000000E+00  0.000000E+00  0.000000E+00
   32    3  4.3247E+03  6.4862E+02  0.000000E+00  0.000000E+00  0.000000E+00
   33    3  4.3161E+03  1.0072E+03  0.000000E+00  0.000000E+00  0.000000E+00
   34    3  4.3231E+03  1.3653E+03  0.000000E+00  0.000000E+00  0.000000E+00
   35    3  4.3474E+03  1.7213E+03  0.000000E+00  0.000000E+00  0.000000E+00
   36    3  4.3931E+03  2.0732E+03  0.000000E+00  0.000000E+00  0.000000E+00
   37    3  4.4630E+03  2.4181E+03  0.000000E+00  0.000000E+00  0.000000E+00
   38    3  4.5600E+03  2.7503E+03  0.000000E+00  0.000000E+00  0.000000E+00
   39    3  4.6895E+03  3.0586E+03  0.000000E+00  0.000000E+00  0.000000E+00
   40    3  4.8547E+03  3.3241E+03  0.000000E+00  0.000000E+00  0.000000E+00
   41    3  5.0526E+03  3.5264E+03  0.000000E+00  0.000000E+00  0.000000E+00
   42    3  5.2811E+03  3.6559E+03  0.000000E+00  0.000000E+00  0.000000E+00
   43    3  5.5464E+03  3.7110E+03  0.000000E+00  0.000000E+00  0.000000E+00
   44    3  5.8449E+03  3.6888E+03  0.000000E+00  0.000000E+00  0.000000E+00
   45    3  6.1557E+03  3.5950E+03  0.000000E+00  0.000000E+00  0.000000E+00
