* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
226.000  57.000   8.294   0.245  -0.451
227.000  57.000   8.299   0.245  -0.453
228.000  57.000   8.301   0.194  -0.454
229.000  58.000   8.299   0.142  -0.453
230.000  58.000   8.296   0.194  -0.452
231.000  58.000   8.301   0.194  -0.454
232.000  58.000   8.303   0.142  -0.455
233.000  59.000   8.301   0.091  -0.454
234.000  59.000   8.299   0.142  -0.453
235.000  59.000   8.303   0.142  -0.455
236.000  59.000   8.306   0.091  -0.456
237.000  60.000   8.304   0.040  -0.456
238.000  60.000   8.301   0.091  -0.454
239.000  60.000   8.306   0.091  -0.456
240.000  60.000   8.309   0.040  -0.458
241.000  61.000   8.305   0.030  -0.456
242.000  61.000   8.304   0.040  -0.456
243.000  61.000   8.309   0.040  -0.458
244.000  61.000   8.309   0.030  -0.458
245.000  62.000   8.301   0.030  -0.465
246.000  62.000   8.305   0.030  -0.456
247.000  62.000   8.309   0.030  -0.458
248.000  62.000   8.305   0.030  -0.467
249.000  63.000   8.281   0.030  -0.508
250.000  63.000   8.301   0.030  -0.465
251.000  63.000   8.305   0.030  -0.467
252.000  63.000   8.286   0.030  -0.510
253.000  64.000   8.262   0.030  -0.551
254.000  64.000   8.281   0.030  -0.508
255.000  64.000   8.286   0.030  -0.510
256.000  64.000   8.267   0.030  -0.553
257.000  65.000   8.243   0.030  -0.595
258.000  65.000   8.262   0.030  -0.551
259.000  65.000   8.267   0.030  -0.553
260.000  65.000   8.248   0.030  -0.597
261.000  66.000   8.224   0.030  -0.638
262.000  66.000   8.243   0.030  -0.595
263.000  66.000   8.248   0.030  -0.597
264.000  66.000   8.229   0.030  -0.640
265.000  67.000   8.205   0.030  -0.681
266.000  67.000   8.224   0.030  -0.638
267.000  67.000   8.229   0.030  -0.640
268.000  67.000   8.210   0.030  -0.683
269.000  68.000   8.186   0.030  -0.724
270.000  68.000   8.205   0.030  -0.681
271.000  68.000   8.210   0.030  -0.683
272.000  68.000   8.190   0.030  -0.726
273.000  69.000   8.167   0.030  -0.767
274.000  69.000   8.186   0.030  -0.724
275.000  69.000   8.190   0.030  -0.726
276.000  69.000   8.171   0.030  -0.770
277.000  70.000   8.148   0.030  -0.811
278.000  70.000   8.167   0.030  -0.767
279.000  70.000   8.171   0.030  -0.770
280.000  70.000   8.152   0.030  -0.813
281.000  71.000   8.128   0.030  -0.854
282.000  71.000   8.148   0.030  -0.811
283.000  71.000   8.152   0.030  -0.813
284.000  71.000   8.133   0.030  -0.856
285.000  72.000   8.109   0.030  -0.897
286.000  72.000   8.128   0.030  -0.854
287.000  72.000   8.133   0.030  -0.856
288.000  72.000   8.114   0.030  -0.899
289.000  73.000   8.155   0.678  -0.865
290.000  73.000   8.135   0.678  -0.909
291.000  73.000   8.145   0.678  -0.913
292.000  73.000   8.164   0.678  -0.869
293.000  74.000   8.174   0.678  -0.822
294.000  74.000   8.155   0.678  -0.865
295.000  74.000   8.164   0.678  -0.869
296.000  74.000   8.183   0.678  -0.826
297.000  75.000   8.193   0.678  -0.779
298.000  75.000   8.174   0.678  -0.822
299.000  75.000   8.183   0.678  -0.826
300.000  75.000   8.202   0.678  -0.783
301.000  76.000   8.212   0.678  -0.736
302.000  76.000   8.193   0.678  -0.779
303.000  76.000   8.202   0.678  -0.783
304.000  76.000   8.221   0.678  -0.740
305.000  77.000   8.231   0.678  -0.693
306.000  77.000   8.212   0.678  -0.736
307.000  77.000   8.221   0.678  -0.740
308.000  77.000   8.240   0.678  -0.697
309.000  78.000   8.250   0.678  -0.649
310.000  78.000   8.231   0.678  -0.693
311.000  78.000   8.240   0.678  -0.697
312.000  78.000   8.259   0.678  -0.653
313.000  79.000   8.269   0.678  -0.606
314.000  79.000   8.250   0.678  -0.649
315.000  79.000   8.259   0.678  -0.653
316.000  79.000   8.278   0.678  -0.610
317.000  80.000   8.288   0.678  -0.563
318.000  80.000   8.269   0.678  -0.606
319.000  80.000   8.278   0.678  -0.610
320.000  80.000   8.298   0.678  -0.567
321.000  81.000   8.308   0.678  -0.520
322.000  81.000   8.288   0.678  -0.563
323.000  81.000   8.298   0.678  -0.567
324.000  81.000   8.317   0.678  -0.524
325.000  82.000   8.327   0.678  -0.477
326.000  82.000   8.308   0.678  -0.520
327.000  82.000   8.317   0.678  -0.524
328.000  82.000   8.336   0.678  -0.481
329.000  83.000   8.331   0.678  -0.467
330.000  83.000   8.327   0.678  -0.477
331.000  83.000   8.336   0.678  -0.481
332.000  83.000   8.340   0.678  -0.472
333.000  84.000   8.320   0.668  -0.463
334.000  84.000   8.331   0.678  -0.467
335.000  84.000   8.340   0.678  -0.472
