* BM 3D coordinates - CATIA meshed model BM13-16 (Houda) - extracted with CASTEM (waiting for CATIA licence...)
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 25/03/2011
* Date Matlab post-processing data : 29/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve
* Modif compared to latest version : Here, CATIA model and elements = triangles ! 
* 
* FIRST WALL GEOMETRY:
* Updated draft model CATIA (Houda - 2010) from DO
* spatial resolution chosen in CATIA - TRIANGLES
* 
* DATA
* 
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
311.000 104.000   7.757  -2.593  -0.699
312.000 104.000   7.696  -2.769  -0.729
313.000 105.000   7.792  -2.591  -0.701
314.000 105.000   7.730  -2.489  -0.898
315.000 105.000   7.813  -2.519  -0.698
316.000 106.000   7.829  -2.388  -0.766
317.000 106.000   7.813  -2.519  -0.698
318.000 106.000   7.730  -2.489  -0.898
319.000 107.000   7.829  -2.388  -0.766
320.000 107.000   7.730  -2.489  -0.898
321.000 107.000   7.766  -2.390  -0.898
322.000 108.000   7.777  -2.508  -0.708
323.000 108.000   7.731  -2.388  -0.898
324.000 108.000   7.707  -2.482  -0.877
325.000 109.000   7.707  -2.482  -0.877
326.000 109.000   7.757  -2.593  -0.699
327.000 109.000   7.777  -2.508  -0.708
328.000 110.000   7.687  -2.763  -0.826
329.000 110.000   7.696  -2.769  -0.729
330.000 110.000   7.639  -2.748  -0.866
331.000 111.000   7.702  -2.592  -0.896
332.000 111.000   7.736  -2.781  -0.710
333.000 111.000   7.687  -2.763  -0.826
334.000 112.000   7.639  -2.748  -0.866
335.000 112.000   7.757  -2.593  -0.699
336.000 112.000   7.668  -2.591  -0.897
337.000 113.000   7.730  -2.489  -0.898
338.000 113.000   7.630  -2.594  -1.051
339.000 113.000   7.628  -2.522  -1.099
340.000 114.000   7.730  -2.489  -0.898
341.000 114.000   7.628  -2.522  -1.099
342.000 114.000   7.647  -2.459  -1.097
343.000 115.000   7.673  -2.390  -1.095
344.000 115.000   7.730  -2.489  -0.898
345.000 115.000   7.647  -2.459  -1.097
346.000 116.000   7.630  -2.388  -1.115
347.000 116.000   7.637  -2.457  -1.045
348.000 116.000   7.731  -2.388  -0.898
349.000 117.000   7.731  -2.388  -0.898
350.000 117.000   7.637  -2.457  -1.045
351.000 117.000   7.707  -2.482  -0.877
352.000 118.000   7.628  -2.592  -0.981
353.000 118.000   7.707  -2.482  -0.877
354.000 118.000   7.637  -2.457  -1.045
355.000 119.000   7.639  -2.745  -0.942
356.000 119.000   7.702  -2.592  -0.896
357.000 119.000   7.687  -2.763  -0.826
358.000 120.000   7.612  -2.446  -1.181
359.000 120.000   7.673  -2.390  -1.095
360.000 120.000   7.647  -2.459  -1.097
361.000 121.000   7.628  -2.592  -0.981
362.000 121.000   7.525  -2.707  -1.140
363.000 121.000   7.581  -2.727  -1.006
364.000 122.000   7.595  -2.729  -1.047
365.000 122.000   7.639  -2.745  -0.942
366.000 122.000   7.581  -2.727  -1.006
367.000 123.000   7.571  -2.791  -1.052
368.000 123.000   7.507  -2.764  -1.133
