1.00
*     IK    IR          PSIn       B_ratio
      40     8     0.9722197     0.2756788     0.3702899
      41     8     0.9722440     0.2635883     0.3699657
      42     8     0.9722377     0.2482467     0.3700497
      43     8     0.9722266     0.2266002     0.3701976
      44     8     0.9722310     0.2046870     0.3701389
      45     8     0.9722405     0.1859179     0.3700128
      46     8     0.9722338     0.1551469     0.3701012
      47     8     0.9722398     0.1263396     0.3700210
      48     8     0.9722364     0.0938545     0.3700663
      49     8     0.9722413     0.0617866     0.3700010
      50     8     0.9722894     0.0458342     0.3693599
      51     8     0.9723374     0.0460284     0.3687204
       1     9     0.9792407     0.0424344     0.2767051
       2     9     0.9791784     0.0605510     0.2775361
       3     9     0.9791394     0.0882203     0.2780551
       4     9     0.9791463     0.1135718     0.2779628
       5     9     0.9791401     0.1370585     0.2780467
       6     9     0.9791530     0.1583954     0.2778743
       7     9     0.9791534     0.1766056     0.2778693
       8     9     0.9791549     0.1913281     0.2778483
       9     9     0.9791490     0.2048156     0.2779279
      10     9     0.9791527     0.2102171     0.2778785
      11     9     0.9791553     0.2153414     0.2778440
      12     9     0.9791629     0.2095167     0.2777424
      13     9     0.9791536     0.2028814     0.2778662
      14     9     0.9791524     0.1927970     0.2778822
      15     9     0.9791579     0.1815343     0.2778090
      16     9     0.9791647     0.1650531     0.2777184
      17     9     0.9791507     0.1463694     0.2779046
      18     9     0.9791536     0.1275567     0.2778656
      19     9     0.9791538     0.1096302     0.2778632
      20     9     0.9791590     0.0941929     0.2777937
      21     9     0.9791412     0.0845904     0.2780319
      22     9     0.9791543     0.0847984     0.2778567
      23     9     0.9791477     0.0980646     0.2779445
      24     9     0.9791327     0.1203772     0.2781449
      25     9     0.9791215     0.1436274     0.2782936
      26     9     0.9791184     0.1691909     0.2783357
      27     9     0.9791258     0.1954137     0.2782369
      28     9     0.9791358     0.2187884     0.2781035
      29     9     0.9791193     0.2401004     0.2783235
      30     9     0.9791121     0.2613059     0.2784191
      31     9     0.9791068     0.2776693     0.2784901
      32     9     0.9791156     0.2913036     0.2783731
      33     9     0.9790744     0.3038558     0.2789220
      34     9     0.9790915     0.3117492     0.2786934
      35     9     0.9791292     0.3061427     0.2781907
      36     9     0.9790917     0.3104671     0.2786911
      37     9     0.9791036     0.3019698     0.2785325
      38     9     0.9791299     0.3032863     0.2781816
      39     9     0.9790983     0.2923993     0.2786030
      40     9     0.9790706     0.2783274     0.2789720
      41     9     0.9791193     0.2660473     0.2783227
      42     9     0.9791193     0.2507228     0.2783236
      43     9     0.9791179     0.2293665     0.2783414
      44     9     0.9791183     0.2078609     0.2783368
      45     9     0.9791107     0.1883142     0.2784383
      46     9     0.9791216     0.1581855     0.2782925
      47     9     0.9791197     0.1295107     0.2783177
      48     9     0.9791213     0.0968783     0.2782967
      49     9     0.9791190     0.0625081     0.2783279
      50     9     0.9791673     0.0422668     0.2776832
      51     9     0.9792407     0.0424344     0.2767051
       1    10     0.9854228     0.0383879     0.1943029
       2    10     0.9853143     0.0601825     0.1957489
       3    10     0.9852914     0.0887532     0.1960536
       4    10     0.9853021     0.1135751     0.1959119
       5    10     0.9852982     0.1369909     0.1959633
       6    10     0.9853057     0.1583656     0.1958630
       7    10     0.9853094     0.1765618     0.1958145
       8    10     0.9853096     0.1910498     0.1958111
       9    10     0.9853013     0.2039321     0.1959217
      10    10     0.9853039     0.2099997     0.1958876
      11    10     0.9853099     0.2142882     0.1958076
      12    10     0.9853131     0.2089016     0.1957644
      13    10     0.9853042     0.2025045     0.1958838
      14    10     0.9853038     0.1923194     0.1958885
      15    10     0.9853072     0.1804389     0.1958441
      16    10     0.9853161     0.1643281     0.1957253
      17    10     0.9853040     0.1452105     0.1958864
      18    10     0.9853113     0.1263756     0.1957885
      19    10     0.9853097     0.1084672     0.1958100
      20    10     0.9853070     0.0930131     0.1958455
      21    10     0.9853073     0.0834482     0.1958423
      22    10     0.9853003     0.0838091     0.1959349
      23    10     0.9852958     0.0984968     0.1959952
      24    10     0.9852918     0.1213419     0.1960484
      25    10     0.9852817     0.1452548     0.1961838
      26    10     0.9852812     0.1709343     0.1961897
      27    10     0.9852762     0.1969190     0.1962564
      28    10     0.9852900     0.2200079     0.1960723
      29    10     0.9852806     0.2417239     0.1961984
      30    10     0.9852626     0.2626586     0.1964377
      31    10     0.9852725     0.2792906     0.1963060
      32    10     0.9852848     0.2933487     0.1961419
      33    10     0.9852587     0.3053900     0.1964900
      34    10     0.9852322     0.3130668     0.1968431
      35    10     0.9852716     0.3083762     0.1963175
      36    10     0.9852551     0.3124662     0.1965380
      37    10     0.9852617     0.3042510     0.1964505
      38    10     0.9852709     0.3044616     0.1963266
      39    10     0.9852263     0.2939888     0.1969218
      40    10     0.9852424     0.2805887     0.1967077
      41    10     0.9852672     0.2680597     0.1963761
      42    10     0.9852851     0.2526977     0.1961374
      43    10     0.9852735     0.2316140     0.1962920
      44    10     0.9852628     0.2105092     0.1964353
      45    10     0.9852716     0.1899028     0.1963179
      46    10     0.9852822     0.1607328     0.1961773
      47    10     0.9852749     0.1320622     0.1962744
      48    10     0.9852800     0.0995897     0.1962066
      49    10     0.9852771     0.0634185     0.1962450
      50    10     0.9853045     0.0382773     0.1958791
      51    10     0.9854228     0.0383879     0.1943029
       1    11     0.9907806     0.0343066     0.1228872
       2    11     0.9906426     0.0596553     0.1247268
       3    11     0.9906270     0.0886547     0.1249348
       4    11     0.9906347     0.1133361     0.1248324
       5    11     0.9906335     0.1367158     0.1248476
       6    11     0.9906405     0.1581127     0.1247546
       7    11     0.9906438     0.1763551     0.1247110
       8    11     0.9906464     0.1907163     0.1246755
       9    11     0.9906373     0.2030161     0.1247980
      10    11     0.9906389     0.2096684     0.1247762
      11    11     0.9906448     0.2131687     0.1246977
      12    11     0.9906491     0.2083457     0.1246400
      13    11     0.9906385     0.2021092     0.1247815
      14    11     0.9906398     0.1918519     0.1247639
      15    11     0.9906406     0.1793684     0.1247530
