# ITER#1515 (F57 ref-20-NF-C0, tau=0.36e-6, ntime=150)  - 82.6 ms
# parallel velocity (up) (m.s-1)
   ix   iy      x           y           z01           z02           z03           z04           z05           z06           z07           z08           z09
   64    1  6.9444E+03 -1.9711E+03 -1.816867E+02  3.708063E+03 -2.676549E+02 -3.663321E+02 -3.298882E+02 -2.479727E+02 -1.021688E+02  1.492124E+02  6.155869E+02
   65    1  6.6712E+03 -2.1892E+03 -1.853386E+02  2.409277E+03 -2.722818E+02 -5.737736E+02 -5.385266E+02 -4.534382E+02 -2.964628E+02  5.540606E+01  6.413439E+02
   66    1  6.3795E+03 -2.3804E+03 -1.818567E+02  1.344818E+03 -2.656357E+02 -8.366046E+02 -8.033721E+02 -7.168563E+02 -5.505022E+02 -7.418755E+01  6.530716E+02
   67    1  6.0760E+03 -2.5349E+03 -1.706775E+02  5.646656E+02 -2.464570E+02 -1.149024E+03 -1.117935E+03 -1.030713E+03 -8.552188E+02 -2.341215E+02  6.520909E+02
   68    1  5.7833E+03 -2.6271E+03 -1.529766E+02  1.018301E+02 -2.166811E+02 -1.460906E+03 -1.427404E+03 -1.336313E+03 -1.149335E+03 -3.927616E+02  6.357363E+02
   69    1  5.5581E+03 -2.6394E+03 -1.415680E+02 -9.700556E+01 -1.962249E+02 -1.718236E+03 -1.686082E+03 -1.591776E+03 -1.392419E+03 -5.177767E+02  6.384569E+02
   70    1  5.4620E+03 -2.6219E+03 -1.418507E+02 -1.506090E+02 -1.946416E+02 -1.842135E+03 -1.822745E+03 -1.736418E+03 -1.533824E+03 -5.829309E+02  6.632042E+02
   71    1  5.0368E+03 -3.7322E+03 -3.569199E+02 -5.900594E+01 -2.335161E+02 -2.518339E+02 -2.037503E+02 -2.349858E+02 -2.513576E+02 -2.472362E+02 -2.503663E+02
   72    1  5.1093E+03 -3.7836E+03  4.344374E+02  6.282462E+01  1.224594E+02  5.448906E+01  1.277787E+02  1.410581E+02  1.366795E+02  1.485058E+02  1.511521E+02
   73    1  5.1911E+03 -3.8676E+03  1.044062E+03  7.890202E+02  8.099745E+02  8.473836E+02  9.398527E+02  8.635935E+02  8.226531E+02  8.094267E+02  8.093623E+02
   74    1  5.2648E+03 -3.9669E+03  1.745531E+03  1.588255E+03  1.611253E+03  1.556309E+03  1.658658E+03  1.633352E+03  1.627254E+03  1.630409E+03  1.644143E+03
   75    1  5.3274E+03 -4.0657E+03  2.345032E+03  1.905117E+03  2.108163E+03  1.851472E+03  1.991673E+03  2.101569E+03  2.154306E+03  2.187955E+03  2.208705E+03
   76    1  5.3798E+03 -4.1563E+03  2.629695E+03  2.513229E+03  2.555485E+03  2.469339E+03  2.542095E+03  2.556930E+03  2.570529E+03  2.581765E+03  2.589730E+03
   77    1  5.4222E+03 -4.2339E+03  2.710536E+03  2.719470E+03  2.694254E+03  2.758956E+03  2.711081E+03  2.697330E+03  2.698529E+03  2.701067E+03  2.703084E+03
   78    1  5.4554E+03 -4.2970E+03  2.481699E+03  2.563289E+03  2.518920E+03  2.609304E+03  2.551949E+03  2.525192E+03  2.513008E+03  2.506376E+03  2.502361E+03
   79    1  5.4810E+03 -4.3470E+03  3.314735E+03  3.370230E+03  3.357279E+03  3.304261E+03  3.378586E+03  3.362643E+03  3.349977E+03  3.342206E+03  3.337320E+03
   80    1  5.5007E+03 -4.3864E+03  3.563446E+03  3.543937E+03  3.570139E+03  3.424963E+03  3.564105E+03  3.570462E+03  3.568002E+03  3.565691E+03  3.564036E+03
   81    1  5.5159E+03 -4.4170E+03  2.786206E+03  2.753788E+03  2.775335E+03  2.683562E+03  2.765680E+03  2.774276E+03  2.776004E+03  2.776509E+03  2.776684E+03
   82    1  5.5274E+03 -4.4405E+03  2.022429E+03  2.001621E+03  2.014180E+03  1.965942E+03  2.007634E+03  2.013352E+03  2.014966E+03  2.015582E+03  2.015868E+03
   83    1  5.5359E+03 -4.4580E+03  1.025900E+03  1.015583E+03  1.021889E+03  9.973768E+02  1.018094E+03  1.021232E+03  1.022180E+03  1.022562E+03  1.022747E+03
   84    1  5.5420E+03 -4.4706E+03  4.169812E+02  4.119764E+02  4.151127E+02  4.055286E+02  4.132811E+02  4.148330E+02  4.153673E+02  4.156055E+02  4.157329E+02
   85    1  5.5461E+03 -4.4792E+03  2.671901E+02  2.642326E+02  2.661027E+02  2.612025E+02  2.650780E+02  2.659599E+02  2.662835E+02  2.664305E+02  2.665130E+02
   86    1  5.5488E+03 -4.4849E+03  8.590520E+01  8.089026E+01  8.394558E+01  7.503414E+01  8.217412E+01  8.364730E+01  8.418326E+01  8.441398E+01  8.454716E+01
   87    1  5.5506E+03 -4.4886E+03 -5.609718E+02 -5.630925E+02 -5.620258E+02 -5.663608E+02 -5.630131E+02 -5.623496E+02 -5.621200E+02 -5.620341E+02 -5.619865E+02
   88    1  5.5519E+03 -4.4913E+03 -1.390428E+03 -1.385226E+03 -1.388291E+03 -1.381033E+03 -1.387220E+03 -1.388400E+03 -1.388843E+03 -1.389033E+03 -1.389151E+03
   89    1  5.5529E+03 -4.4933E+03 -3.517915E+02 -3.299204E+02 -3.414383E+02 -3.136578E+02 -3.366200E+02 -3.414802E+02 -3.433587E+02 -3.440357E+02 -3.444913E+02
   90    1  5.5538E+03 -4.4953E+03  1.770406E+03  1.788450E+03  1.778991E+03  1.801593E+03  1.783013E+03  1.778971E+03  1.777395E+03  1.776839E+03  1.776459E+03
    1    2  4.1850E+03 -3.8745E+03 -2.029323E+03 -2.034088E+03 -2.032126E+03 -2.037854E+03 -2.032781E+03 -2.032074E+03 -2.031848E+03 -2.031749E+03 -2.031698E+03
    2    2  4.1868E+03 -3.8737E+03 -6.840708E+02 -6.950844E+02 -6.899164E+02 -7.036457E+02 -6.918865E+02 -6.898289E+02 -6.890863E+02 -6.887989E+02 -6.886215E+02
    3    2  4.1888E+03 -3.8729E+03 -6.430127E+02 -6.521357E+02 -6.471790E+02 -6.601038E+02 -6.493450E+02 -6.471991E+02 -6.463871E+02 -6.460742E+02 -6.458697E+02
    4    2  4.1914E+03 -3.8719E+03 -8.004859E+02 -8.044024E+02 -8.019187E+02 -8.094801E+02 -8.031659E+02 -8.020244E+02 -8.016121E+02 -8.014330E+02 -8.013247E+02
    5    2  4.1950E+03 -3.8705E+03 -6.745853E+02 -6.826802E+02 -6.772531E+02 -6.934667E+02 -6.800920E+02 -6.775554E+02 -6.766536E+02 -6.762400E+02 -6.760077E+02
