

         SEPARATRIX SEGMENTS:

 #   nptseg(i)   lg(i)      deltp1(i)   deltpn(i)     dpmin       dpmax
===========================================================================
 1      77      7.4871E+00  5.0000E-02  5.0000E-02  5.0000E-02  1.2374E-01


         RADIAL DISTRIBUTIONS FOR EACH REGION:
  3.46320393E+00  1.40371672E+00  5.09637308E-04  6.30857873E-01  6.52591356E-01
  3.39792708E+00  1.46211890E+00 -1.54242718E-05  5.43403361E-01  6.60759819E-01
  3.32524580E+00  1.51565034E+00  5.78619029E-04  4.52635031E-01  6.66010438E-01
  3.24670842E+00  1.56564130E+00  3.59224756E-04  3.65201272E-01  6.65140224E-01
  3.16050909E+00  1.60768007E+00  5.29657750E-04  2.76017843E-01  6.60370662E-01
  3.06732754E+00  1.63916859E+00  6.18231939E-04  1.87839611E-01  6.52063673E-01
  2.96907466E+00  1.66149523E+00  6.27629331E-04  1.02413168E-01  6.38923380E-01
  2.86638860E+00  1.67199695E+00  6.27796321E-04  1.80234973E-02  6.22361803E-01
  2.76093492E+00  1.66757410E+00  5.85471288E-04 -6.48128535E-02  6.03073748E-01
  2.65555609E+00  1.64704525E+00  5.70572447E-04 -1.44978953E-01  5.81738745E-01
  2.55109138E+00  1.61506309E+00  6.07890634E-04 -2.25133273E-01  5.57210195E-01
  2.45150080E+00  1.56577172E+00  1.92574819E-04 -3.03117886E-01  5.32536361E-01
  2.35792686E+00  1.50319337E+00  2.99857665E-04 -3.77983767E-01  5.06564462E-01
  2.27088713E+00  1.42984143E+00 -9.47834624E-05 -4.52503088E-01  4.78309741E-01
  2.19125405E+00  1.34644116E+00  7.48461887E-05 -5.22824305E-01  4.47454371E-01
  2.11954433E+00  1.25462526E+00  4.77499632E-04 -5.88374922E-01  4.15093391E-01
  2.05619033E+00  1.15544663E+00  5.49421976E-05 -6.50602354E-01  3.78239204E-01
  2.00072792E+00  1.05048613E+00 -2.88991408E-05 -7.07285797E-01  3.36294669E-01
  1.95310034E+00  9.40680003E-01  4.75337792E-04 -7.57364807E-01  2.89951291E-01
  1.91400625E+00  8.26627033E-01 -3.72953932E-05 -8.00584362E-01  2.41433993E-01
  1.88265157E+00  7.09413244E-01  4.51784131E-04 -8.35991617E-01  1.88508032E-01
