    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IGRD= 1  / IPRT= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -12.55436 -12.55256 -12.55112 -12.54970 -12.54759 -12.54530 -12.54189 -12.53636
 -12.53194 -12.52673 -12.51780 -12.50888 -12.49744 -12.47888 -12.46178 -12.43997
 -12.65969 -12.65955 -12.65892 -12.65815 -12.65821 -12.65853 -12.65804 -12.65667
 -12.65563 -12.65517 -12.65491 -12.65405 -12.65210 -12.65038 -12.64838 -12.64511
 -12.64190 -12.63763 -12.63105 -12.62545 -12.61794 -12.60515 -12.59320 -12.57773
 -12.80527 -12.80530 -12.80541 -12.80553 -12.80554 -12.80563 -12.80531 -12.80468
 -12.80473 -12.80451 -12.80317 -12.80216 -12.80174 -12.80137 -12.80011 -12.79759
 -12.79555 -12.79283 -12.78942 -12.78733 -12.78359 -12.77649 -12.76988 -12.76027
 -12.99841 -12.99843 -12.99848 -12.99835 -12.99805 -12.99794 -12.99807 -12.99811
 -12.99790 -12.99754 -12.99744 -12.99722 -12.99692 -12.99675 -12.99622 -12.99529
 -12.99474 -12.99400 -12.99264 -12.99135 -12.98972 -12.98805 -12.98685 -12.98330
 -13.13172 -13.13172 -13.13169 -13.13174 -13.13178 -13.13150 -13.13108 -13.13111
 -13.13117 -13.13114 -13.13112 -13.13119 -13.13105 -13.13068 -13.13061 -13.13052
 -13.13013 -13.13008 -13.12995 -13.12926 -13.12870 -13.12852 -13.12803 -13.12580
 -13.27838 -13.27837 -13.27837 -13.27838 -13.27839 -13.27837 -13.27833 -13.27833
 -13.27834 -13.27835 -13.27835 -13.27828 -13.27848 -13.27894 -13.27916 -13.27907
 -13.27901 -13.27898 -13.27918 -13.27961 -13.28003 -13.28091 -13.28142 -13.28050
 -13.45269 -13.45269 -13.45269 -13.45269 -13.45267 -13.45270 -13.45275 -13.45274
 -13.45271 -13.45274 -13.45277 -13.45258 -13.45305 -13.45415 -13.45427 -13.45428
 -13.45527 -13.45527 -13.45517 -13.45640 -13.45708 -13.45819 -13.45998 -13.46075
 -13.58142 -13.58142 -13.58141 -13.58142 -13.58142 -13.58141 -13.58140 -13.58142
 -13.58141 -13.58142 -13.58144 -13.58138 -13.58154 -13.58203 -13.58257 -13.58316
 -13.58365 -13.58440 -13.58510 -13.58527 -13.58640 -13.58898 -13.59047 -13.59121
 -13.76967 -13.76967 -13.76967 -13.76967 -13.76966 -13.76967 -13.76966 -13.76961
 -13.76963 -13.76961 -13.76955 -13.76967 -13.76940 -13.76908 -13.77055 -13.77266
 -13.77231 -13.77230 -13.77328 -13.77428 -13.77620 -13.77947 -13.78100 -13.78074
 -14.01738 -14.01738 -14.01737 -14.01738 -14.01739 -14.01733 -14.01747 -14.01779
 -14.01783 -14.01788 -14.01823 -14.01826 -14.01837 -14.01899 -14.01946 -14.01990
 -14.02045 -14.02115 -14.02240 -14.02358 -14.02478 -14.02731 -14.02975 -14.03072
 -14.18791 -14.18791 -14.18791 -14.18790 -14.18790 -14.18792 -14.18787 -14.18782
 -14.18816 -14.18858 -14.18852 -14.18883 -14.18923 -14.18910 -14.18967 -14.19076
 -14.19107 -14.19163 -14.19291 -14.19407 -14.19548 -14.19804 -14.20010 -14.20134
 -14.37135 -14.37135 -14.37135 -14.37135 -14.37135 -14.37135 -14.37136 -14.37137
 -14.37127 -14.37155 -14.37223 -14.37254 -14.37236 -14.37233 -14.37279 -14.37378
 -14.37439 -14.37494 -14.37609 -14.37740 -14.37854 -14.38098 -14.38372 -14.38527
 -14.63490 -14.63490 -14.63490 -14.63490 -14.63490 -14.63489 -14.63491 -14.63493
 -14.63482 -14.63509 -14.63579 -14.63610 -14.63590 -14.63588 -14.63633 -14.63732
 -14.63793 -14.63848 -14.63964 -14.64095 -14.64209 -14.64452 -14.64727 -14.64883
 -14.82231 -14.82231 -14.82231 -14.82231 -14.82231 -14.82230 -14.82232 -14.82233
 -14.82223 -14.82250 -14.82320 -14.82350 -14.82331 -14.82328 -14.82374 -14.82473
 -14.82534 -14.82589 -14.82705 -14.82835 -14.82949 -14.83193 -14.83468 -14.83623
 -15.08645 -15.08645 -15.08644 -15.08645 -15.08645 -15.08644 -15.08646 -15.08647
 -15.08636 -15.08664 -15.08733 -15.08764 -15.08745 -15.08742 -15.08788 -15.08887
 -15.08948 -15.09003 -15.09118 -15.09249 -15.09363 -15.09607 -15.09881 -15.10037
 -15.41922 -15.41922 -15.41922 -15.41922 -15.41922 -15.41921 -15.41923 -15.41924
 -15.41914 -15.41941 -15.42011 -15.42041 -15.42022 -15.42019 -15.42065 -15.42164
 -15.42225 -15.42280 -15.42396 -15.42526 -15.42640 -15.42884 -15.43159 -15.43314
 -15.63841 -15.63841 -15.63841 -15.63841 -15.63841 -15.63840 -15.63842 -15.63844
 -15.63833 -15.63860 -15.63930 -15.63961 -15.63941 -15.63939 -15.63984 -15.64083
 -15.64144 -15.64199 -15.64315 -15.64446 -15.64560 -15.64803 -15.65078 -15.65234
 -15.87076 -15.87076 -15.87076 -15.87076 -15.87077 -15.87076 -15.87078 -15.87079
 -15.87068 -15.87096 -15.87165 -15.87196 -15.87177 -15.87174 -15.87220 -15.87319
 -15.87380 -15.87435 -15.87550 -15.87681 -15.87795 -15.88039 -15.88313 -15.88469
 -16.13490 -16.13490 -16.13490 -16.13490 -16.13490 -16.13489 -16.13491 -16.13493
 -16.13482 -16.13509 -16.13579 -16.13610 -16.13590 -16.13588 -16.13633 -16.13732
 -16.13793 -16.13848 -16.13964 -16.14095 -16.14209 -16.14452 -16.14727 -16.14883
C-------------------------------------------------------------------------------
C
C     RATE COEFFICIENTS IN UNITS OF CM**3 S-1 
C     --------------------------------------- 
C
C     INPUT DATA
C         FOR YEAR: 96 AND WITH PREFIX: pj
C         FOR he RECOMBINING ION CHARGE(S)  1 TO  2
C
C     CODE     : ADAS404
C     PRODUCER : Martin O'Mullane              
C     DATE     : 04/11/99
C
C-------------------------------------------------------------------------------
 
C---------------------------------------------------------------------------------
C ADAS ADF11 DATA - SCCS info: @(#)$Header: /home/adascvs/adas/adf11/acd96/acd96_he.dat,v 2.1 2004/07/07 00:02:05 whitefor Exp $ Date $Date: 2004/07/07 00:02:05 $
C---------------------------------------------------------------------------------
