    7   24   30    1    7     /NITROGEN           /GCR PROJECT      
--------------------------------------------------------------------------------
    3    4    2    2    1    2    1    1                                        
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -39.84804 -39.56864 -39.29008 -38.92849 -38.66330 -38.40648 -38.07512 -37.82382
 -37.56400 -37.19205 -36.88348 -36.55212 -36.08621 -35.72824 -35.37368 -34.84768
 -34.44674 -34.04452 -32.84328 -31.69547 -31.00092 -30.27301 -29.62441 -28.96111
 -29.97703 -29.67275 -29.36837 -28.96488 -28.65835 -28.35058 -27.94153 -27.63102
 -27.32064 -26.91164 -26.60312 -26.29519 -25.89243 -25.59316 -25.29986 -24.92029
 -24.59283 -24.18612 -23.64942 -23.23184 -22.72487 -22.01222 -21.48475 -20.95912
 -25.90239 -25.60227 -25.30231 -24.90595 -24.60655 -24.30785 -23.91285 -23.61365
 -23.31457 -22.92004 -22.62197 -22.32414 -21.93578 -21.65130 -21.37825 -21.02677
 -20.74353 -20.41602 -19.89966 -19.47102 -19.04388 -18.46079 -18.00222 -17.54127
 -22.74226 -22.44112 -22.13957 -21.74110 -21.43978 -21.13816 -20.73982 -20.43860
 -20.13698 -19.73973 -19.44081 -19.14348 -18.75992 -18.48178 -18.21678 -17.88749
 -17.63386 -17.35231 -16.95984 -16.64982 -16.31735 -15.86181 -15.51529 -15.16858
 -20.21422 -19.91270 -19.61230 -19.21443 -18.91291 -18.61238 -18.21529 -17.91437
 -17.61341 -17.21756 -16.92027 -16.62535 -16.24597 -15.97344 -15.71901 -15.41618
 -15.20139 -14.98282 -14.69337 -14.47235 -14.24404 -13.94842 -13.73310 -13.51892
 -18.92382 -18.62227 -18.32177 -17.92375 -17.62217 -17.32159 -16.92391 -16.62246
 -16.32141 -15.92545 -15.62820 -15.33397 -14.95542 -14.68398 -14.43250 -14.13763
 -13.93734 -13.74680 -13.51158 -13.33927 -13.16232 -12.93848 -12.77958 -12.62212
 -17.64494 -17.34366 -17.04290 -16.64502 -16.34369 -16.04271 -15.64602 -15.34603
 -15.04511 -14.64853 -14.35120 -14.05749 -13.68039 -13.41048 -13.16133 -12.87476
 -12.68896 -12.52293 -12.33136 -12.20044 -12.07388 -11.92446 -11.82391 -11.72504
 -16.63484 -16.33399 -16.03275 -15.63482 -15.33399 -15.03278 -14.63471 -14.33403
 -14.03379 -13.63815 -13.34084 -13.04692 -12.66923 -12.39963 -12.15275 -11.87247
 -11.69654 -11.54765 -11.38514 -11.28083 -11.18699 -11.08409 -11.01849 -10.95453
 -16.21011 -15.90892 -15.60807 -15.21012 -14.90892 -14.60804 -14.21024 -13.90939
 -13.60918 -13.21357 -12.91620 -12.62231 -12.24502 -11.97592 -11.72957 -11.45069
 -11.27767 -11.13450 -10.98285 -10.88861 -10.80619 -10.71929 -10.66591 -10.61419
 -15.91855 -15.61770 -15.31647 -14.91853 -14.61770 -14.31656 -13.91821 -13.61747
 -13.31792 -12.92239 -12.62448 -12.33039 -11.95297 -11.68322 -11.43571 -11.15781
 -10.98742 -10.84696 -10.70111 -10.61311 -10.53743 -10.46062 -10.41568 -10.37251
 -15.74357 -15.44258 -15.14149 -14.74358 -14.44258 -14.14143 -13.74383 -13.44316
 -13.14211 -12.74630 -12.44937 -12.15489 -11.77623 -11.50570 -11.25719 -10.97692
 -10.80574 -10.66739 -10.52429 -10.43825 -10.36680 -10.29676 -10.25668 -10.21832
 -15.69555 -15.39407 -15.09352 -14.69561 -14.39407 -14.09331 -13.69645 -13.39548
 -13.09330 -12.69716 -12.40083 -12.10626 -11.72698 -11.45567 -11.20576 -10.92284
 -10.74976 -10.61030 -10.46632 -10.38031 -10.31019 -10.24264 -10.20442 -10.16792
 -15.71062 -15.40939 -15.10857 -14.71063 -14.40939 -14.10851 -13.71089 -13.40988
 -13.10883 -12.71282 -12.41557 -12.12084 -11.73990 -11.46598 -11.21350 -10.92625
 -10.74848 -10.60342 -10.45403 -10.36605 -10.29477 -10.22763 -10.19094 -10.15612
 -15.83834 -15.53736 -15.23626 -14.83836 -14.53738 -14.23620 -13.83865 -13.53827
 -13.23771 -12.84106 -12.54266 -12.24705 -11.86522 -11.58928 -11.33179 -11.03335
 -10.84488 -10.68858 -10.52442 -10.42741 -10.35104 -10.28052 -10.24199 -10.20542
 -15.97618 -15.67459 -15.37418 -14.97619 -14.67454 -14.37405 -13.97670 -13.67584
 -13.37568 -12.97896 -12.67996 -12.38429 -12.00121 -11.72261 -11.46106 -11.15423
 -10.95669 -10.78910 -10.60885 -10.50135 -10.41792 -10.34207 -10.30100 -10.26207
 -16.15914 -15.85781 -15.55709 -15.15923 -14.85802 -14.55725 -14.15891 -13.85764
 -13.55786 -13.16176 -12.86266 -12.56617 -12.18055 -11.89890 -11.63311 -11.31615
 -11.10562 -10.92046 -10.71809 -10.59760 -10.50390 -10.41951 -10.37476 -10.33253
 -16.40015 -16.09918 -15.79803 -15.40027 -15.09942 -14.79814 -14.40025 -14.09984
 -13.79961 -13.40239 -13.10281 -12.80588 -12.41832 -12.13320 -11.86122 -11.52814
 -11.29831 -11.08909 -10.85458 -10.71467 -10.60834 -10.51341 -10.46233 -10.41399
 -16.58430 -16.28330 -15.98225 -15.58425 -15.28319 -14.98219 -14.58438 -14.28380
 -13.98368 -13.58625 -13.28634 -12.98933 -12.59990 -12.31136 -12.03419 -11.68820
 -11.44260 -11.21324 -10.95242 -10.79679 -10.67955 -10.57569 -10.51993 -10.46717
 -16.85193 -16.55130 -16.24980 -15.85198 -15.55140 -15.24985 -14.85192 -14.55098
 -14.24865 -13.85167 -13.55343 -13.25462 -12.86267 -12.57094 -12.28457 -11.91870
 -11.65027 -11.38919 -11.08977 -10.91256 -10.77757 -10.65893 -10.59730 -10.53938
 -17.19492 -16.89483 -16.59267 -16.19514 -15.89528 -15.59290 -15.19480 -14.89338
 -14.58797 -14.19165 -13.89579 -13.59449 -13.19939 -12.90386 -12.60565 -12.21456
 -11.91729 -11.61584 -11.26764 -11.06332 -10.90567 -10.76817 -10.69922 -10.63492
 -17.42304 -17.12329 -16.82071 -16.42336 -16.12396 -15.82105 -15.42283 -15.12111
 -14.81367 -14.41779 -14.12349 -13.82055 -13.42336 -13.12534 -12.81933 -12.41162
