%    m	   m	 n/a	 n/a	  eV	  eV
%  XTIC	 RMDE	 RHOE	 PSIE	  TIC	 DTIC
  3.130E+00	 3.132E+00	 1.116E-01	 1.289E-02	 3.889E+00	 1.239E-01
  3.130E+00	 3.132E+00	 1.116E-01	 1.290E-02	 3.843E+00	 1.731E-01
  3.130E+00	 3.132E+00	 1.116E-01	 1.290E-02	 3.835E+00	 1.197E-01
  3.131E+00	 3.132E+00	 1.118E-01	 1.293E-02	 4.153E+00	 1.455E-01
  3.131E+00	 3.132E+00	 1.119E-01	 1.297E-02	 3.738E+00	 1.337E-01
  3.131E+00	 3.132E+00	 1.122E-01	 1.305E-02	 4.031E+00	 1.592E-01
  3.131E+00	 3.132E+00	 1.123E-01	 1.306E-02	 3.757E+00	 1.834E-01
  3.131E+00	 3.132E+00	 1.124E-01	 1.308E-02	 3.585E+00	 1.300E-01
  3.131E+00	 3.133E+00	 1.128E-01	 1.319E-02	 3.902E+00	 1.286E-01
  3.132E+00	 3.133E+00	 1.131E-01	 1.325E-02	 3.978E+00	 1.325E-01
  3.132E+00	 3.133E+00	 1.132E-01	 1.329E-02	 4.003E+00	 1.893E-01
  3.132E+00	 3.133E+00	 1.134E-01	 1.333E-02	 3.746E+00	 1.322E-01
  3.132E+00	 3.133E+00	 1.134E-01	 1.335E-02	 3.957E+00	 1.378E-01
  3.132E+00	 3.133E+00	 1.139E-01	 1.347E-02	 3.882E+00	 1.273E-01
  3.133E+00	 3.134E+00	 1.143E-01	 1.356E-02	 3.787E+00	 1.118E-01
  3.133E+00	 3.134E+00	 1.144E-01	 1.359E-02	 3.757E+00	 1.326E-01
  3.133E+00	 3.134E+00	 1.146E-01	 1.363E-02	 3.882E+00	 1.232E-01
  3.133E+00	 3.134E+00	 1.146E-01	 1.364E-02	 3.793E+00	 1.233E-01
  3.133E+00	 3.134E+00	 1.149E-01	 1.371E-02	 3.862E+00	 1.238E-01
  3.133E+00	 3.134E+00	 1.149E-01	 1.373E-02	 4.123E+00	 1.344E-01
  3.133E+00	 3.134E+00	 1.150E-01	 1.374E-02	 3.744E+00	 1.685E-01
  3.133E+00	 3.135E+00	 1.153E-01	 1.381E-02	 3.771E+00	 1.479E-01
  3.134E+00	 3.135E+00	 1.156E-01	 1.389E-02	 3.697E+00	 1.240E-01
  3.134E+00	 3.135E+00	 1.159E-01	 1.397E-02	 3.887E+00	 1.292E-01
  3.134E+00	 3.135E+00	 1.159E-01	 1.398E-02	 4.049E+00	 1.396E-01
  3.134E+00	 3.135E+00	 1.160E-01	 1.399E-02	 3.739E+00	 1.282E-01
  3.134E+00	 3.135E+00	 1.160E-01	 1.400E-02	 3.825E+00	 1.245E-01
  3.134E+00	 3.135E+00	 1.161E-01	 1.404E-02	 3.776E+00	 1.324E-01
  3.134E+00	 3.135E+00	 1.162E-01	 1.405E-02	 3.748E+00	 1.256E-01
