    2   24   30    1    2     /HELIUM             /GCR PROJECT      
--------------------------------------------------------------------------------
    2    1    1                                                                 
--------------------------------------------------------------------------------
   7.69897   8.00000   8.30103   8.69897   9.00000   9.30103   9.69897  10.00000
  10.30103  10.69897  11.00000  11.30103  11.69897  12.00000  12.30103  12.69897
  13.00000  13.30103  13.69897  14.00000  14.30103  14.69897  15.00000  15.30103
   -.69877   -.52268   -.30083   -.15470    .00020    .17629    .30123    .47732
    .69917    .84530   1.00020   1.17629   1.30123   1.47732   1.69917   1.84530
   2.00020   2.17629   2.30123   2.47732   2.69917   2.84530   3.00020   3.17629
   3.30123   3.47732   3.69917   3.84530   4.00020   4.17629
---------------------/ IPRT= 1  / IGRD= 1  /--------/ Z1= 1   / DATE= 04/11/99
 -12.92748 -12.80742 -12.71043 -12.60852 -12.47018 -12.36747 -12.27148 -12.16106
 -12.06765 -11.93078 -11.66233 -11.43310 -11.24295 -11.07421 -10.98873 -10.90883
 -10.98289 -10.95815 -10.92973 -10.88709 -10.85081 -10.81028 -10.74961 -10.69805
 -10.64139 -10.55835 -10.48941 -10.41557 -10.31201 -10.23261 -10.15438 -10.03662
  -9.89929  -9.68734  -9.35084  -9.11776  -8.94856  -8.81122  -8.74315  -8.67975
  -9.81025  -9.79604  -9.77954  -9.75425  -9.73202  -9.70639  -9.66686  -9.63224
  -9.59302  -9.53304  -9.48186  -9.42628  -9.34358  -9.27655  -9.20663  -9.07625
  -8.91294  -8.67639  -8.34337  -8.13906  -8.00153  -7.89581  -7.84410  -7.79603
  -8.89672  -8.88823  -8.87850  -8.86327  -8.84957  -8.83365  -8.80822  -8.78536
  -8.75927  -8.71795  -8.68104  -8.63944  -8.57566  -8.52111  -8.45716  -8.31283
  -8.13110  -7.88872  -7.58382  -7.41743  -7.31186  -7.23494  -7.19879  -7.16548
  -8.15785  -8.15385  -8.14692  -8.13677  -8.12879  -8.11876  -8.10246  -8.08752
  -8.06958  -8.04121  -8.01580  -7.98605  -7.93741  -7.89124  -7.82919  -7.67331
  -7.48454  -7.25458  -6.99542  -6.87094  -6.79705  -6.74547  -6.72141  -6.69926
  -7.77648  -7.77444  -7.76818  -7.75964  -7.75407  -7.74652  -7.73384  -7.72218
  -7.70808  -7.68558  -7.66514  -7.64064  -7.59837  -7.55525  -7.49333  -7.33234
  -7.14503  -6.93206  -6.70690  -6.60618  -6.54879  -6.50881  -6.48914  -6.47079
  -7.38549  -7.38292  -7.37953  -7.37455  -7.37013  -7.36422  -7.35376  -7.34452
  -7.33462  -7.31723  -7.29985  -7.27915  -7.24382  -7.20472  -7.14247  -6.97858
  -6.79864  -6.61107  -6.42753  -6.35140  -6.30887  -6.27987  -6.26624  -6.25365
  -7.06444  -7.06191  -7.05976  -7.05498  -7.05043  -7.04692  -7.04012  -7.03226
  -7.02308  -7.00967  -6.99651  -6.97800  -6.94604  -6.90931  -6.84689  -6.68618
  -6.51816  -6.35365  -6.20338  -6.14596  -6.11436  -6.09337  -6.08429  -6.07607
  -6.92457  -6.92285  -6.91980  -6.91483  -6.91146  -6.90882  -6.90345  -6.89642
  -6.88699  -6.87419  -6.86279  -6.84601  -6.81416  -6.77715  -6.71679  -6.56218
  -6.40425  -6.25726  -6.12791  -6.07970  -6.05347  -6.03617  -6.02876  -6.02207
  -6.81747  -6.81713  -6.81394  -6.81047  -6.80885  -6.80552  -6.79958  -6.79376
  -6.78571  -6.77266  -6.76089  -6.74616  -6.71728  -6.68058  -6.61941  -6.47094
  -6.32607  -6.19696  -6.08669  -6.04637  -6.02475  -6.01058  -6.00443  -5.99886
  -6.73893  -6.73755  -6.73638  -6.73362  -6.73046  -6.72697  -6.72172  -6.71671
  -6.71021  -6.69873  -6.68719  -6.67228  -6.64420  -6.60866  -6.54838  -6.40395
  -6.26438  -6.14060  -6.03662  -5.99927  -5.97809  -5.96384  -5.95829  -5.95343
  -6.70373  -6.70261  -6.70125  -6.69894  -6.69609  -6.69169  -6.68645  -6.68264
  -6.67683  -6.66554  -6.65397  -6.63909  -6.61155  -6.57696  -6.51819  -6.37742
  -6.24155  -6.12116  -6.01953  -5.98293  -5.96296  -5.94961  -5.94391  -5.93876
  -6.67494  -6.67382  -6.67268  -6.67034  -6.66776  -6.66462  -6.65914  -6.65401
  -6.64816  -6.63805  -6.62739  -6.61308  -6.58635  -6.55305  -6.49682  -6.36214
  -6.23176  -6.11538  -6.01476  -5.97777  -5.95954  -5.94855  -5.94352  -5.93890
  -6.66787  -6.66680  -6.66572  -6.66312  -6.66061  -6.65840  -6.65381  -6.64904
  -6.64402  -6.63417  -6.62347  -6.61019  -6.58450  -6.55238  -6.49951  -6.37019
  -6.24040  -6.11904  -6.01250  -5.97299  -5.95096  -5.93792  -5.93443  -5.93177
  -6.67859  -6.67749  -6.67629  -6.67413  -6.67216  -6.66993  -6.66480  -6.65993
  -6.65555  -6.64634  -6.63551  -6.62201  -6.59733  -6.56724  -6.51698  -6.39053
  -6.25920  -6.13034  -6.01233  -5.96748  -5.94373  -5.92945  -5.92421  -5.91968
  -6.69891  -6.69758  -6.69614  -6.69471  -6.69352  -6.69126  -6.68619  -6.68137
  -6.67640  -6.66798  -6.65867  -6.64573  -6.62184  -6.59342  -6.54611  -6.42665
  -6.30002  -6.17136  -6.04975  -6.00241  -5.97794  -5.96362  -5.95819  -5.95344
  -6.73113  -6.72950  -6.72792  -6.72639  -6.72482  -6.72195  -6.71807  -6.71464
  -6.70923  -6.70102  -6.69280  -6.68008  -6.65719  -6.63106  -6.58746  -6.47585
  -6.35361  -6.22334  -6.09607  -6.04532  -6.01885  -6.00316  -5.99703  -5.99164
  -6.75841  -6.75675  -6.75510  -6.75342  -6.75184  -6.74918  -6.74599  -6.74315
  -6.73802  -6.72907  -6.72023  -6.70807  -6.68698  -6.66261  -6.62150  -6.51640
  -6.39853  -6.26758  -6.13558  -6.08109  -6.05156  -6.03400  -6.02777  -6.02244
  -6.79944  -6.79759  -6.79587  -6.79357  -6.79216  -6.79145  -6.78858  -6.78495
  -6.78128  -6.77256  -6.76299  -6.75255  -6.73289  -6.71001  -6.67470  -6.57962
  -6.46634  -6.33451  -6.19590  -6.13615  -6.10392  -6.08505  -6.07829  -6.07248
  -6.85142  -6.84932  -6.84753  -6.84438  -6.84322  -6.84514  -6.84261  -6.83779
  -6.83608  -6.82782  -6.81734  -6.80918  -6.79118  -6.77006  -6.74234  -6.65999
