* number of heading lines in this data file : 15
* 
* BM 3D coordinates extracted from CASTEM
* Post-proc in Matlab : only reading CASTEM raw data (for checking) and write concatenate ascii files - no modifications of X,Y,Z coordinates
* Date CASTEM calculations : 15/03/2011
* Date Matlab post-processing data : 15/03/2011
* Files can be found in : C:\CASTEM_FW.BM coordinates for Steve. march. 2011 (bis) -  whole column - def
* Modif compared to latest version : - 
* 
* FIRST WALL GEOMETRY:
* Reference design November 2009 - slightly adjusted in January 2010 (CATIA skeleton post-Blanket CDR)
* higher spatial resolution than the one used for previous DIVIMP grid (2010)
* 
* DATA
* nºnode  nºelem  X(m)    Y(m)    Z(m) 
491.000 123.000   7.839   0.286  -1.416
492.000 123.000   7.842   0.237  -1.418
493.000 124.000   7.816   0.187  -1.463
494.000 124.000   7.813   0.237  -1.461
495.000 124.000   7.842   0.237  -1.418
496.000 124.000   7.845   0.187  -1.419
497.000 125.000   7.819   0.138  -1.465
498.000 125.000   7.816   0.187  -1.463
499.000 125.000   7.845   0.187  -1.419
500.000 125.000   7.848   0.138  -1.422
501.000 126.000   7.823   0.089  -1.467
502.000 126.000   7.819   0.138  -1.465
503.000 126.000   7.848   0.138  -1.422
504.000 126.000   7.852   0.089  -1.424
505.000 127.000   7.828   0.040  -1.471
506.000 127.000   7.823   0.089  -1.467
507.000 127.000   7.852   0.089  -1.424
508.000 127.000   7.857   0.040  -1.428
509.000 128.000   7.793   0.559  -1.510
510.000 128.000   7.808   0.614  -1.520
511.000 128.000   7.837   0.614  -1.477
512.000 128.000   7.822   0.559  -1.467
513.000 129.000   7.788   0.505  -1.507
514.000 129.000   7.793   0.559  -1.510
515.000 129.000   7.822   0.559  -1.467
516.000 129.000   7.817   0.505  -1.464
517.000 130.000   7.785   0.450  -1.505
518.000 130.000   7.788   0.505  -1.507
519.000 130.000   7.817   0.505  -1.464
520.000 130.000   7.814   0.450  -1.462
521.000 131.000   7.783   0.395  -1.504
522.000 131.000   7.785   0.450  -1.505
523.000 131.000   7.814   0.450  -1.462
524.000 131.000   7.812   0.395  -1.460
525.000 132.000   7.782   0.340  -1.503
526.000 132.000   7.783   0.395  -1.504
527.000 132.000   7.812   0.395  -1.460
528.000 132.000   7.811   0.340  -1.460
529.000 133.000   7.781   0.286  -1.502
530.000 133.000   7.782   0.340  -1.503
531.000 133.000   7.811   0.340  -1.460
532.000 133.000   7.810   0.286  -1.459
533.000 134.000   7.784   0.237  -1.504
534.000 134.000   7.781   0.286  -1.502
535.000 134.000   7.810   0.286  -1.459
536.000 134.000   7.813   0.237  -1.461
537.000 135.000   7.787   0.187  -1.506
538.000 135.000   7.784   0.237  -1.504
539.000 135.000   7.813   0.237  -1.461
540.000 135.000   7.816   0.187  -1.463
541.000 136.000   7.790   0.138  -1.508
542.000 136.000   7.787   0.187  -1.506
543.000 136.000   7.816   0.187  -1.463
544.000 136.000   7.819   0.138  -1.465
545.000 137.000   7.794   0.089  -1.511
546.000 137.000   7.790   0.138  -1.508
547.000 137.000   7.819   0.138  -1.465
548.000 137.000   7.823   0.089  -1.467
549.000 138.000   7.799   0.040  -1.514
550.000 138.000   7.794   0.089  -1.511
551.000 138.000   7.823   0.089  -1.467
552.000 138.000   7.828   0.040  -1.471
553.000 139.000   7.764   0.559  -1.554
554.000 139.000   7.779   0.614  -1.563
555.000 139.000   7.808   0.614  -1.520
556.000 139.000   7.793   0.559  -1.510
557.000 140.000   7.759   0.505  -1.550
558.000 140.000   7.764   0.559  -1.554
559.000 140.000   7.793   0.559  -1.510
560.000 140.000   7.788   0.505  -1.507
561.000 141.000   7.756   0.450  -1.548
562.000 141.000   7.759   0.505  -1.550
563.000 141.000   7.788   0.505  -1.507
564.000 141.000   7.785   0.450  -1.505
565.000 142.000   7.754   0.395  -1.547
566.000 142.000   7.756   0.450  -1.548
567.000 142.000   7.785   0.450  -1.505
568.000 142.000   7.783   0.395  -1.504
569.000 143.000   7.753   0.340  -1.546
570.000 143.000   7.754   0.395  -1.547
571.000 143.000   7.783   0.395  -1.504
572.000 143.000   7.782   0.340  -1.503
573.000 144.000   7.752   0.286  -1.545
574.000 144.000   7.753   0.340  -1.546
575.000 144.000   7.782   0.340  -1.503
576.000 144.000   7.781   0.286  -1.502
577.000 145.000   7.755   0.237  -1.547
578.000 145.000   7.752   0.286  -1.545
