$
$ 2D experimental data array of the CIII 4650A
$ emission for DIIID shot 86575 at 1650ms - with a 
$ roughly 2cm square grid 
$
$ 50 cells over R =  1.0 to  2.0
$ 30 cells over Z = -1.4 to -0.8
$
$ SCALEF: = ????
$
TITLE: EXPT 2D CIII 4650A
DATA:  50  30 
1.20408     -1.11034   -8.60151e+06      
1.20408     -1.08966    7.01860e+06      
1.20408     -1.06897   -1.87409e+06      
1.20408     -1.04828   -4.12912e+06      
1.20408     -1.02759   -1.49085e+07      
1.20408     -1.00690    5.89737e+06      
1.20408    -0.986207    1.33053e+07      
1.20408    -0.965517   -1.14973e+06      
1.20408    -0.944828    7.00294e+06      
1.20408    -0.924138    1.88220e+07      
1.20408    -0.903448    2.68382e+07      
1.20408    -0.882759    3.70449e+07      
1.20408    -0.862069    2.74402e+07      
1.20408    -0.841379    2.68651e+07      
1.20408    -0.820690    1.85379e+07      
1.20408    -0.800000    8.76072e+06      
1.22449     -1.40000        0.00000      
1.22449     -1.37931    4.17547e+06      
1.22449     -1.35862   -2.97119e+07      
1.22449     -1.33793       -765257.      
1.22449     -1.31724    8.40087e+07      
1.22449     -1.29655   -2.81156e+07      
1.22449     -1.27586   -4.99122e+07      
1.22449     -1.25517   -3.37868e+07      
1.22449     -1.23448   -5.65762e+06      
1.22449     -1.21379    8.82008e+07      
1.22449     -1.19310    1.58242e+08      
1.22449     -1.17241    4.65622e+08      
1.22449     -1.15172    7.94694e+07      
1.22449     -1.13103   -1.06737e+08      
1.22449     -1.11034    1.04721e+07      
1.22449     -1.08966    1.51677e+07      
1.22449     -1.06897    1.25876e+06      
1.22449     -1.04828    1.39512e+07      
1.22449     -1.02759    2.42768e+07      
1.22449     -1.00690    1.68595e+07      
1.22449    -0.986207    1.86723e+07      
1.22449    -0.965517    3.20062e+07      
1.22449    -0.944828    4.41996e+07      
1.22449    -0.924138    3.90597e+07      
1.22449    -0.903448    5.56959e+07      
1.22449    -0.882759    1.34621e+07      
1.22449    -0.862069    3.49843e+06      
1.22449    -0.841379   -1.04402e+07      
1.22449    -0.820690    4.64932e+06      
1.22449    -0.800000    1.19900e+07      
1.24490     -1.40000        0.00000      
1.24490     -1.37931    9.08198e+06      
1.24490     -1.35862   -3.21126e+07      
1.24490     -1.33793    9.73152e+06      
1.24490     -1.31724    9.01500e+07      
1.24490     -1.29655   -4.44743e+07      
1.24490     -1.27586   -5.67664e+07      
1.24490     -1.25517   -3.06932e+07      
1.24490     -1.23448   -2.34408e+07      
1.24490     -1.21379    7.94775e+07      
1.24490     -1.19310    1.43559e+08      
1.24490     -1.17241    4.82940e+08      
1.24490     -1.15172    4.42888e+08      
