{NUMBER OF COLUMNS}       5
*
* SHOTS  =   25028
* TIMES  =     0.300000 to     0.324000 s
*
*       PSIn           r           z        dens          Te
*                    (m)         (m)       (m-3)        (eV)
{DATA LIST}
    0.976500    0.422400    0.000000    8.44E+18       11.13
    0.977460    0.426402    0.000000    1.06E+19       15.38
    0.980002    0.424401    0.000000    1.18E+19       20.18
    0.980044    0.420399    0.000000    6.82E+18        9.08
    0.980339    0.423008    0.000000    1.16E+19       11.19
    0.989577    0.421993    0.000000    6.59E+18        7.36
    0.993515    0.412853    0.000000    7.40E+18       12.50
    0.994612    0.416915    0.000000    8.36E+18        9.51
    0.997054    0.414884    0.000000    9.75E+18       13.81
    0.997080    0.410822    0.000000    6.91E+18        9.31
    0.997154    0.413612    0.000000    8.35E+18       10.14
    1.006200    0.412581    0.000000    5.50E+18        8.69
    1.010083    0.403306    0.000000    7.64E+18        8.84
    1.011314    0.407428    0.000000    7.26E+18        7.55
    1.013533    0.404215    0.000000    9.09E+18        7.77
    1.013658    0.405367    0.000000    7.02E+18        7.73
    1.013660    0.401245    0.000000    8.08E+18        6.66
    1.022382    0.403169    0.000000    7.13E+18        7.62
    1.026188    0.393758    0.000000    7.87E+18        7.42
    1.027562    0.397941    0.000000    4.81E+18        5.36
    1.029464    0.394818    0.000000    7.58E+18        6.18
    1.029767    0.391668    0.000000    7.34E+18        7.53
    1.029805    0.395850    0.000000    5.99E+18        8.98
    1.038120    0.393757    0.000000    5.72E+18        6.97
    1.041816    0.384211    0.000000    7.52E+18        7.61
    1.043349    0.388454    0.000000    7.54E+18        7.87
    1.044935    0.385422    0.000000    7.33E+18        5.48
    1.045395    0.382090    0.000000    7.12E+18        4.88
    1.045486    0.386333    0.000000    5.46E+18        6.19
    1.053407    0.384346    0.000000    5.28E+18        6.06
    1.056979    0.374663    0.000000    7.52E+18        7.45
    1.058672    0.378967    0.000000    7.50E+18        5.65
    1.059955    0.376025    0.000000    7.23E+18        6.19
    1.060557    0.372512    0.000000    7.08E+18        5.76
    1.060705    0.376815    0.000000    7.80E+18        7.33
    1.068251    0.374934    0.000000    8.08E+18        7.35
    1.071694    0.365116    0.000000    6.03E+18        7.31
    1.073548    0.369479    0.000000    9.26E+18        6.93
    1.074539    0.366628    0.000000    6.47E+18        7.06
    1.075271    0.362935    0.000000    8.38E+18        6.09
    1.075477    0.367298    0.000000    6.42E+18        7.42
    1.082667    0.365522    0.000000    7.15E+18        5.53
    1.085970    0.355569    0.000000    7.83E+18        6.24
    1.087988    0.359993    0.000000    9.91E+18        6.03
    1.088697    0.357232    0.000000    8.53E+18        5.32
    1.089538    0.353357    0.000000    7.68E+18        7.23
    1.089816    0.357780    0.000000    6.96E+18        6.52
    1.096660    0.356111    0.000000    6.71E+18        6.31
    1.099800    0.346021    0.000000    8.01E+18        5.68
    1.101437    0.348520    0.000000    7.03E+18        5.62
    1.101988    0.350506    0.000000    9.52E+18        4.40
    1.103355    0.343780    0.000000    7.58E+18        6.65
    1.103709    0.348264    0.000000    7.52E+18        6.62
    1.109251    0.347385    0.000000    6.91E+18        6.15
    1.112232    0.337171    0.000000    7.26E+18        6.96
    1.113813    0.339808    0.000000    8.54E+18        5.52
    1.114580    0.341711    0.000000    7.51E+18        6.19
    1.115778    0.334901    0.000000    7.96E+18        5.47
    1.116205    0.339440    0.000000    5.99E+18        7.42
    1.121483    0.338660    0.000000    6.36E+18        5.94
    1.124304    0.328320    0.000000    7.31E+18        6.03
    1.125835    0.331097    0.000000    9.29E+18        5.26
    1.126811    0.332916    0.000000    8.30E+18        6.65
    1.127834    0.326022    0.000000    8.39E+18        5.21
    1.128339    0.330618    0.000000    7.31E+18        7.45
    1.133369    0.329934    0.000000    7.71E+18        5.44
    1.136007    0.319468    0.000000    7.71E+18        4.77
    1.137501    0.322386    0.000000    7.28E+18        5.24
    1.138683    0.324119    0.000000    8.69E+18        5.47
    1.139517    0.317143    0.000000    9.21E+18        4.22
    1.140110    0.321794    0.000000    7.25E+18        6.21
    1.144898    0.321209    0.000000    7.64E+18        5.62
    1.147346    0.310617    0.000000    8.28E+18        5.16
    1.148811    0.313675    0.000000    8.61E+18        3.44
    1.150189    0.315324    0.000000    7.74E+18        4.91
    1.150836    0.308264    0.000000    8.43E+18        4.91
    1.151518    0.312971    0.000000    6.84E+18        6.06
    1.156077    0.312484    0.000000    7.12E+18        4.97
    1.158335    0.301765    0.000000    9.25E+18        4.00
    1.159779    0.304962    0.000000    8.93E+18        4.29
    1.161341    0.306529    0.000000    8.89E+18        5.60
    1.161803    0.299384    0.000000    9.89E+18       12.92
    1.162575    0.304147    0.000000    7.69E+18        5.93
    1.166917    0.303758    0.000000    6.52E+18        4.76
    1.168967    0.292915    0.000000    8.98E+18        3.95
    1.170405    0.296251    0.000000    7.63E+18        5.35
    1.172148    0.297734    0.000000    9.65E+18        4.48
    1.172408    0.290505    0.000000    9.33E+18        3.72
    1.173282    0.295325    0.000000    7.00E+18        5.29
    1.175775    0.291737    0.000000    8.58E+18        3.99
    1.177419    0.295032    0.000000    6.70E+18        5.24
    1.179245    0.284064    0.000000    8.47E+18        4.65
    1.181054    0.287222    0.000000    8.77E+18        5.13
    1.182601    0.288939    0.000000    8.63E+18        3.70
    1.182658    0.281626    0.000000    8.74E+18        5.46
    1.182724    0.290511    0.000000    8.52E+18        4.10
    1.183637    0.286501    0.000000    7.99E+18        4.47
    1.184436    0.279477    0.000000    8.96E+18        3.93
    1.186241    0.282707    0.000000    8.90E+18        3.53
    1.187833    0.277025    0.000000    8.80E+18        4.67
    1.187883    0.284380    0.000000    7.79E+18        4.09
    1.187941    0.285989    0.000000    7.74E+18        4.29
    1.188866    0.281929    0.000000    8.87E+18        4.69
    1.192918    0.272423    0.000000    8.61E+18        3.01
    1.193067    0.281467    0.000000    8.40E+18        3.18
    1.193072    0.279822    0.000000    9.02E+18        3.72
    1.194006    0.277355    0.000000    7.12E+18        3.76
    1.194544    0.270303    0.000000    9.37E+18        2.81
    1.196349    0.273678    0.000000    6.06E+17        5.49
    1.197910    0.267821    0.000000    8.93E+18        2.63
    1.198106    0.276944    0.000000    6.51E+18        4.35
    1.198170    0.275265    0.000000    9.05E+18        3.65
    1.199054    0.272783    0.000000    7.37E+18        3.98
    1.199461    0.265715    0.000000    9.58E+18        3.25
    1.201272    0.269162    0.000000    8.72E+18        3.92
    1.202808    0.263219    0.000000    1.11E+19        2.05
    1.203056    0.272423    0.000000    1.80E+18       10.61
